17-220kV_Ⅱ母电压Ua_17,18-220kV_Ⅱ母电压Ub_18,19-220kV_Ⅱ母电压Uc_19,20-220kV_Ⅱ母电压3Uo_20,5-220kV_唐木Ⅰ回线电流１Ia_5,6-220kV_唐木Ⅰ回线电流１Ib_6,7-220kV_唐木Ⅰ回线电流１Ic_7,8-220kV_唐木Ⅰ回线电流１3Io_8
85.71271514892578,-43.748443603515625,-41.591583251953125,0.8243478536605835,0.04305877909064293,-0.028767511248588562,-0.028733670711517334,0.0
85.58554077148438,-38.96147918701172,-46.18821334838867,0.887759268283844,0.04305877909064293,-0.014383755624294281,-0.021550253033638,0.007185351103544235
85.20403289794922,-34.04770278930664,-50.753143310546875,0.7926421761512756,0.04305877909064293,-0.014383755624294281,-0.03591708838939667,0.0
84.56818389892578,-29.133928298950195,-55.0644645690918,0.6658194065093994,0.04305877909064293,-0.014383755624294281,-0.03591708838939667,0.0
83.64620208740234,-24.156749725341797,-59.18558120727539,0.5707023739814758,0.04305877909064293,-0.0071918778121471405,-0.028733670711517334,0.0
82.62883758544922,-19.33808135986328,-63.148197174072266,0.3804682493209839,0.035882316529750824,-0.0071918778121471405,-0.028733670711517334,0.0
81.1663818359375,-14.360902786254883,-66.6669921875,0.25364550948143005,0.035882316529750824,0.0,-0.043100506067276,0.0
79.0362777709961,-9.066706657409668,-69.80538177490234,0.25364550948143005,0.035882316529750824,0.0,-0.043100506067276,0.0
76.7472152709961,-3.8676161766052246,-72.75357055664062,0.25364550948143005,0.035882316529750824,0.0071918778121471405,-0.043100506067276,0.0
74.07664489746094,1.521685004234314,-75.51155090332031,0.221939817070961,0.035882316529750824,0.0071918778121471405,-0.03591708838939667,0.0
70.89738464355469,7.164600372314453,-77.92081451416016,0.1585284322500229,0.035882316529750824,0.0071918778121471405,-0.043100506067276,0.0
67.68634033203125,12.458796501159668,-80.13987731933594,0.12682275474071503,0.035882316529750824,0.014383755624294281,-0.043100506067276,0.0
64.03019714355469,17.752992630004883,-81.94683074951172,-0.2853511869907379,0.02870585210621357,0.014383755624294281,-0.043100506067276,0.0
60.02433395385742,23.015485763549805,-83.50017547607422,-0.7926421761512756,0.035882316529750824,0.014383755624294281,-0.043100506067276,0.0
56.01847457885742,28.02436637878418,-84.67311096191406,-0.9828763008117676,0.02870585210621357,0.02157563343644142,-0.043100506067276,0.0
51.53572463989258,33.00154495239258,-85.46562957763672,-1.648695707321167,0.02870585210621357,0.02157563343644142,-0.043100506067276,0.0
46.925804138183594,37.947021484375,-85.84603881835938,-1.648695707321167,0.014352926053106785,0.028767511248588562,-0.043100506067276,0.0
42.25230026245117,43.114410400390625,-85.94114685058594,-0.9828763008117676,0.021529389545321465,0.02157563343644142,-0.043100506067276,0.0
37.165489196777344,47.77457046508789,-85.75093841552734,-1.395050287246704,0.014352926053106785,0.028767511248588562,-0.043100506067276,0.0
32.61915588378906,52.52983474731445,-85.05352020263672,0.1585284322500229,0.021529389545321465,0.0359593890607357,-0.043100506067276,0.007185351103544235
27.62772560119629,56.74617004394531,-84.41950225830078,0.03170568868517876,0.014352926053106785,0.028767511248588562,-0.043100506067276,0.007185351103544235
22.763465881347656,60.74059295654297,-83.46847534179688,0.12682275474071503,0.014352926053106785,0.028767511248588562,-0.043100506067276,0.0
17.74024200439453,64.35459899902344,-82.39064025878906,-0.6341137290000916,0.014352926053106785,0.0359593890607357,-0.043100506067276,0.0
12.78060531616211,67.65158081054688,-80.6470947265625,-0.3170568645000458,0.007176463026553392,0.04315126687288284,-0.03591708838939667,0.0
7.375871658325195,70.59984588623047,-78.74504089355469,-1.3633445501327515,0.0,0.04315126687288284,-0.03591708838939667,-0.007185351103544235
2.0347232818603516,73.51641082763672,-76.36746978759766,-1.3316388130187988,0.0,0.04315126687288284,-0.03591708838939667,0.0
-3.3382177352905273,76.2110595703125,-73.45098876953125,-0.887759268283844,-0.007176463026553392,0.04315126687288284,-0.03591708838939667,0.0
-8.933706283569336,78.74720001220703,-70.18579864501953,-0.7609364986419678,0.0,0.04315126687288284,-0.03591708838939667,0.0
-14.497403144836426,80.55419921875,-66.8572006225586,-1.395050287246704,-0.007176463026553392,0.04315126687288284,-0.03591708838939667,0.0
-20.251853942871094,82.17098999023438,-63.338401794433594,-2.5681607723236084,-0.014352926053106785,0.057535022497177124,-0.028733670711517334,0.01437070220708847
-26.64215660095215,82.70992279052734,-59.56599426269531,-6.309432029724121,-0.007176463026553392,0.04315126687288284,-0.03591708838939667,0.021556053310632706
-25.27507781982422,34.80854415893555,-38.89700698852539,-60.74809646606445,0.06458816677331924,0.3020588755607605,0.07183417677879333,0.4311210811138153
-53.029972076416016,3.6457037925720215,-70.24919891357422,-205.7382049560547,-0.02870585210621357,0.24452383816242218,-0.043100506067276,0.17244842648506165
