220kV Ⅰ母电压_A相_1,220kV Ⅰ母电压_B相_2,220kV Ⅰ母电压_C相_3,220kV Ⅰ母电压_3U0_4,唐木Ⅰ回线262_A相_37,唐木Ⅰ回线262_B相_38,唐木Ⅰ回线262_C相_39,唐木Ⅰ回线262_3I0_40
-11.044967651367188,-68.5149154663086,78.61042785644531,-0.7150259613990784,0.2229931652545929,-0.2604839503765106,-0.2321971356868744,-0.19522233307361603
11.160019874572754,-79.570068359375,67.3521728515625,-0.621761679649353,0.2229931652545929,-0.18605996668338776,-0.2321971356868744,-0.22311124205589294
32.915260314941406,-84.98844146728516,51.23334884643555,-0.45077723264694214,0.13007934391498566,-0.14884796738624573,-0.22290925681591034,-0.2045186460018158
52.4531364440918,-85.11324310302734,31.687198638916016,-0.5595855116844177,0.09291381388902664,-0.1116359755396843,-0.2321971356868744,-0.19522233307361603
67.5353775024414,-79.33086395263672,10.842817306518555,-0.7772021293640137,0.04645690694451332,-0.06512098759412766,-0.18575771152973175,-0.21381494402885437
78.99871063232422,-68.18211364746094,-11.528282165527344,-0.7772021293640137,0.0,-0.07442398369312286,-0.1393182873725891,-0.2045186460018158
84.63624572753906,-51.96858215332031,-33.265846252441406,-0.6994819045066833,-0.037165526300668716,-0.04651499167084694,-0.08359096944332123,-0.19522233307361603
84.1865005493164,-32.146263122558594,-52.61466598510742,-0.823834240436554,-0.11149658262729645,-0.06512098759412766,-0.027863657101988792,-0.19522233307361603
78.63263702392578,-11.13835334777832,-67.99609375,-0.6839378476142883,-0.14866210520267487,-0.10233297944068909,0.009287885390222073,-0.19522233307361603
67.80731964111328,10.83675479888916,-79.22319030761719,-0.7150259613990784,-0.12078796327114105,-0.15815097093582153,0.06501519680023193,-0.2045186460018158
51.74190902709961,32.56226348876953,-84.90424346923828,-0.6839378476142883,-0.16724486649036407,-0.17675696313381195,0.09287885576486588,-0.22311124205589294
31.566015243530273,52.21818161010742,-84.83154296875,-0.6683937907218933,-0.12078796327114105,-0.2511809468269348,0.1393182873725891,-0.23240754008293152
10.898538589477539,67.42292022705078,-79.44129180908203,-0.7927461266517639,-0.06503967195749283,-0.31630194187164307,0.1578940451145172,-0.21381494402885437
-11.473796844482422,78.42607116699219,-68.07918548583984,-0.7461140155792236,-0.06503967195749283,-0.3628169298171997,0.16718193888664246,-0.2045186460018158
-33.22903823852539,83.97964477539062,-51.85649871826172,-0.7150259613990784,0.009291381575167179,-0.41863492131233215,0.18575771152973175,-0.21381494402885437
-52.620487213134766,83.93804931640625,-32.20648956298828,-0.6683937907218933,0.055748291313648224,-0.4465439021587372,0.14860616624355316,-0.2045186460018158
-67.62950897216797,78.06207275390625,-11.424424171447754,-0.6839378476142883,0.13937072455883026,-0.4465439021587372,0.13003039360046387,-0.21381494402885437
-79.0405502319336,66.99652099609375,11.019376754760742,-0.8082901835441589,0.18582762777805328,-0.4744529128074646,0.08359096944332123,-0.21381494402885437
-84.71992492675781,50.866188049316406,32.59076690673828,-0.823834240436554,0.1951190084218979,-0.4930588901042938,0.027863657101988792,-0.2045186460018158
-84.19696044921875,30.981470108032227,51.78379821777344,-0.8704663515090942,0.2508673071861267,-0.455846905708313,0.0,-0.22311124205589294
-78.73723602294922,10.046358108520508,67.32101440429688,-0.7772021293640137,0.2694500684738159,-0.4465439021587372,-0.10216674208641052,-0.2045186460018158
-67.70272064208984,-12.053549766540527,78.2988510131836,-0.823834240436554,0.29732421040534973,-0.38142290711402893,-0.10216674208641052,-0.21381494402885437
-51.55364227294922,-33.581459045410156,83.9072036743164,-0.7927461266517639,0.30661559104919434,-0.3535139262676239,-0.16718193888664246,-0.22311124205589294
-31.356830596923828,-53.5285758972168,83.8241195678711,-0.9326425194740295,0.2601586878299713,-0.29769593477249146,-0.20433348417282104,-0.21381494402885437
-10.835783004760742,-68.70211029052734,78.44425201416016,-0.5284974575042725,0.2508673071861267,-0.2232719510793686,-0.2321971356868744,-0.2045186460018158
11.567930221557617,-79.67406463623047,67.22754669189453,-0.6528497934341431,0.18582762777805328,-0.18605996668338776,-0.24148501455783844,-0.21381494402885437
33.302249908447266,-85.26924133300781,50.776371002197266,-0.7772021293640137,0.14866210520267487,-0.1302419751882553,-0.2136213630437851,-0.19522233307361603
52.65186309814453,-85.04044342041016,31.417165756225586,-0.621761679649353,0.10220519453287125,-0.08372697979211807,-0.20433348417282104,-0.19522233307361603
