220kVIV母_5,220kVIV母_6,220kVIV母_7,220kVIV母_8,220kV龙嵩I回_13,220kV龙嵩I回_14,220kV龙嵩I回_15,220kV龙嵩I回_16
4.353425979614258,72.0354995727539,-76.5867919921875,-0.22104200720787048,-0.002598999999463558,0.03887299820780754,-0.026585999876260757,0.018252000212669373
-0.5598139762878418,74.88343811035156,-74.2121353149414,0.03156600147485733,-0.002598999999463558,0.04232899844646454,-0.0222960002720356,0.018252000212669373
-5.853504180908203,77.1987533569336,-71.35385131835938,-0.039480000734329224,-0.007776999846100807,0.047513000667095184,-0.024011999368667603,0.017382999882102013
-11.000449180603027,79.28035736083984,-68.13692474365234,0.25259798765182495,-0.006914000026881695,0.04664900153875351,-0.020579999312758446,0.021727999672293663
-16.098478317260742,80.98694610595703,-64.89825439453125,0.07103600353002548,-0.005187999922782183,0.05183300003409386,-0.020579999312758446,0.019121000543236732
-21.147594451904297,82.46526336669922,-61.1705322265625,0.213128000497818,-0.009503000415861607,0.055289000272750854,-0.018864000216126442,0.020858999341726303
-26.05539894104004,83.50334930419922,-57.31782913208008,0.213128000497818,-0.012091999873518944,0.05442500114440918,-0.021438000723719597,0.020858999341726303
-31.262128829956055,84.1011962890625,-52.845645904541016,0.08682399988174438,-0.017270000651478767,0.05615299940109253,-0.018864000216126442,0.020858999341726303
-36.29493713378906,84.88927459716797,-48.4332389831543,0.2604919970035553,-0.015544000081717968,0.057016998529434204,-0.015432000160217285,0.022597000002861023
-41.37666320800781,85.10667419433594,-43.71109390258789,0.01577799953520298,-0.021585000678896904,0.0639289990067482,-0.011141999624669552,0.026941999793052673
-45.84967041015625,85.2425537109375,-39.249778747558594,0.2447039932012558,-0.020721999928355217,0.06479299813508987,-0.013716000132262707,0.024335000663995743
-50.284629821777344,84.62296295166016,-34.32657241821289,-0.047373998910188675,-0.020721999928355217,0.05960899963974953,-0.005135999992489815,0.026941999793052673
-54.51849365234375,83.84575653076172,-29.327293395996094,0.09471800178289413,-0.01985899917781353,0.057016998529434204,-0.005135999992489815,0.028680000454187393
-58.57300567626953,82.82940673828125,-24.31714630126953,-0.15789000689983368,-0.025036999955773354,0.06479299813508987,-0.006852000020444393,0.035631999373435974
-62.61664581298828,81.40544128417969,-19.035297393798828,-0.3789219856262207,-0.025036999955773354,0.06306499987840652,-0.0034199999645352364,0.039108000695705414
-66.04612731933594,78.76946258544922,-13.943639755249023,-1.894569993019104,-0.024173999205231667,0.08639299869537354,0.0008699999889358878,0.053011998534202576
-69.34517669677734,75.5899887084961,-8.384657859802246,-4.096995830535889,-0.030215000733733177,0.12700100243091583,0.0034439999144524336,0.09906899929046631
-72.31268310546875,70.36151885986328,-3.5864360332489014,-8.841290473937988,-0.0457490012049675,0.20130500197410583,0.006018000189214945,0.16076800227165222
-75.24214935302734,69.22560119628906,2.0160179138183594,-7.451945781707764,-0.04143400117754936,0.2591930031776428,0.015456000342965126,0.22681200504302979
-77.94334411621094,64.36671447753906,6.455595970153809,-11.627872467041016,-0.0457490012049675,0.29202499985694885,0.009449999779462814,0.2607029974460602
-79.10099792480469,65.89938354492188,12.4058256149292,-1.96561598777771,-0.050064001232385635,0.3283129930496216,0.01202400028705597,0.29198700189590454
-81.40544128417969,60.60569381713867,16.405250549316406,-7.704554080963135,-0.050064001232385635,0.3473210036754608,0.015456000342965126,0.3137120008468628
-82.0576400756836,59.323036193847656,22.65435028076172,0.1341879963874817,-0.04661199823021889,0.3611449897289276,0.024035999551415443,0.3319610059261322
-83.59574127197266,55.942466735839844,27.343891143798828,-1.3972480297088623,-0.0595569983124733,0.36287298798561096,0.02317800000309944,0.32674700021743774
