220kV I母_1,220kV I母_2,220kV I母_3,220kV I母_4,文南II回264开关_37,文南II回264开关_38,文南II回264开关_39,文南II回264开关_40
-36.906124114990234,-32.479766845703125,85.47804260253906,28.359514236450195,-0.14110900461673737,4.969313144683838,0.26734399795532227,-5.1201090812683105
-29.23016929626465,-35.589012145996094,87.96019744873047,40.57084655761719,-0.12400499731302261,4.282113075256348,0.26734399795532227,-4.466660976409912
-25.332813262939453,-36.60383605957031,88.63470458984375,46.97511672973633,-0.07269299775362015,3.457473039627075,0.16385599970817566,-3.5724689960479736
-19.627126693725586,-39.853431701660156,87.38282775878906,48.86103439331055,-0.004277000203728676,2.564112901687622,0.26734399795532227,-2.8674330711364746
-15.481463432312012,-43.62663650512695,85.6129379272461,46.46434783935547,0.04703500121831894,1.7222930192947388,0.19835199415683746,-1.9560450315475464
-10.234606742858887,-46.97339630126953,84.06968688964844,47.0772705078125,0.0641390010714531,0.7773929834365845,0.16385599970817566,-1.027461051940918
-5.576132774353027,-49.81814193725586,81.23678588867188,45.29350280761719,0.13255499303340912,-0.15032699704170227,0.18110400438308716,-0.16766099631786346
-0.7719129920005798,-52.824825286865234,78.43626403808594,43.58045959472656,0.20097100734710693,-1.0780470371246338,0.14660799503326416,0.6921390295028687
5.192876815795898,-56.209373474121094,75.50083923339844,42.96753692626953,0.23517900705337524,-2.0057671070098877,0.18110400438308716,1.5863310098648071
10.698837280273438,-57.86116027832031,72.57620239257812,44.60200119018555,0.26938700675964355,-2.950666904449463,0.16385599970817566,2.4977190494537354
16.1400203704834,-59.853023529052734,69.62459564208984,45.45066452026367,0.3378030061721802,-3.895566940307617,0.11211200058460236,3.409106969833374
21.046802520751953,-60.72749710083008,65.96610260009766,46.07144546508789,0.3720110058784485,-4.823287010192871,0.14660799503326416,4.3032989501953125
26.471792221069336,-61.348270416259766,62.7285041809082,48.70387649536133,0.42332300543785095,-5.751007080078125,0.12936000525951385,5.2318830490112305
31.621484756469727,-60.813865661621094,59.06462097167969,52.34212875366211,0.42332300543785095,-6.695907115936279,0.09486400336027145,6.160467147827148
37.43513107299805,-61.434635162353516,56.17776107788086,56.40471649169922,0.5088430047035217,-7.572086811065674,0.09486400336027145,7.003070831298828
41.408058166503906,-61.1539421081543,51.801605224609375,56.21612548828125,0.54305100440979,-8.516986846923828,0.04312000051140785,7.9660468101501465
46.17988967895508,-62.41167449951172,47.452430725097656,54.74667739868164,0.5601549744606018,-9.358806610107422,0.06036800146102905,8.791455268859863
50.24458312988281,-63.1134147644043,41.910736083984375,50.81767654418945,0.645675003528595,-10.269347190856934,0.04312000051140785,9.634058952331543
55.36188888549805,-63.88533020019531,36.94641876220703,49.866859436035156,0.645675003528595,-11.111166954040527,0.008623999543488026,10.528250694274902
59.718074798583984,-63.65321350097656,31.82021713256836,48.85317611694336,0.6798830032348633,-11.935807228088379,0.008623999543488026,11.28487491607666
63.77737045288086,-62.71396255493164,26.06808090209961,47.50160217285156,0.7482990026473999,-12.726086616516113,-0.008623999543488026,12.093087196350098
67.39402770996094,-61.931251525878906,20.2835693359375,45.15991973876953,0.7482990026473999,-13.447647094726562,-0.06036800146102905,12.832514762878418
70.95671081542969,-60.311851501464844,15.04944896697998,45.09705352783203,0.7825070023536682,-14.169206619262695,-0.06036800146102905,13.554746627807617
74.42762756347656,-58.62767791748047,10.193049430847168,45.584251403808594,0.8167150020599365,-14.839226722717285,-0.11211200058460236,14.208194732666016
76.73257446289062,-56.322731018066406,5.0128889083862305,44.52341842651367,0.8167150020599365,-15.440526962280273,-0.12936000525951385,14.861642837524414
79.48554992675781,-54.687137603759766,4.999999873689376e-06,43.58045959472656,0.8509230017662048,-16.05900764465332,-0.12936000525951385,15.411914825439453
81.5961685180664,-52.41997528076172,-5.104610919952393,42.18959426879883,0.8338189721107483,-16.57440757751465,-0.14660799503326416,15.944991111755371
83.62042236328125,-50.492889404296875,-10.273979187011719,40.09150695800781,0.8509230017662048,-17.05544662475586,-0.12936000525951385,16.37489128112793
84.77019500732422,-48.905879974365234,-15.788690567016602,35.12525177001953,0.8851310014724731,-17.450586318969727,-0.12936000525951385,16.804790496826172
85.47733306884766,-46.47677993774414,-21.57859992980957,30.473316192626953,0.8851310014724731,-17.82854652404785,-0.16385599970817566,17.183103561401367
86.38419342041016,-43.99909591674805,-27.276775360107422,26.473594665527344,0.9193390011787415,-18.120607376098633,-0.12936000525951385,17.441043853759766
86.51374816894531,-40.868255615234375,-32.37599563598633,23.29110336303711,0.8851310014724731,-18.34394645690918,-0.14660799503326416,17.681787490844727
86.50834655761719,-37.50530242919922,-37.42665100097656,20.202909469604492,0.9193390011787415,-18.5157470703125,-0.16385599970817566,17.870943069458008
86.2492446899414,-33.753692626953125,-42.245277404785156,17.798362731933594,0.9022349715232849,-18.653186798095703,-0.12936000525951385,17.95692253112793
85.39096069335938,-29.87253189086914,-46.61064147949219,15.30737590789795,0.8851310014724731,-18.670366287231445,-0.14660799503326416,18.025707244873047
84.30596160888672,-25.72146987915039,-51.02457046508789,13.075703620910645,0.8680269718170166,-18.63600730895996,-0.12936000525951385,18.025707244873047
83.10761260986328,-21.92667579650879,-55.08236312866211,10.513996124267578,0.8680269718170166,-18.532926559448242,-0.16385599970817566,17.95692253112793
81.54219055175781,-18.175064086914062,-59.129364013671875,7.323647975921631,0.8167150020599365,-18.361127853393555,-0.18110400438308716,17.819355010986328
79.82562255859375,-14.585394859313965,-63.07383728027344,3.5989561080932617,0.8167150020599365,-18.137786865234375,-0.16385599970817566,17.595806121826172
77.9471206665039,-11.1792573928833,-67.03990173339844,-0.6600800156593323,0.79961097240448,-17.897266387939453,-0.19835199415683746,17.389455795288086
75.91747283935547,-7.65436315536499,-70.62824249267578,-4.321907997131348,0.79961097240448,-17.536487579345703,-0.19835199415683746,17.045534133911133
73.55854797363281,-4.113275051116943,-74.11945343017578,-8.478790283203125,0.7825070023536682,-17.158527374267578,-0.19835199415683746,16.66722297668457
70.60584259033203,-0.32927700877189636,-77.4056167602539,-12.729968070983887,0.696986973285675,-16.69466781616211,-0.19835199415683746,16.254518508911133
67.19969940185547,3.6220591068267822,-80.16297149658203,-16.51752471923828,0.696986973285675,-16.162086486816406,-0.21559999883174896,15.755834579467773
63.51287078857422,7.989040851593018,-82.7314682006836,-19.825742721557617,0.645675003528595,-15.595147132873535,-0.23284800350666046,15.205562591552734
59.18907165527344,12.113113403320312,-84.16680145263672,-22.662479400634766,0.6114670038223267,-14.942307472229004,-0.25009599328041077,14.603702545166016
54.4928092956543,16.679821014404297,-85.43486022949219,-25.09060287475586,0.5772590041160583,-14.237927436828613,-0.23284800350666046,13.967451095581055
49.85053253173828,20.571779251098633,-86.20109558105469,-27.73089027404785,0.5259469747543335,-13.516366958618164,-0.21559999883174896,13.279610633850098
44.95454406738281,24.43674659729004,-86.58960723876953,-30.174728393554688,0.5088430047035217,-12.760446548461914,-0.21559999883174896,12.540183067321777
40.30686569213867,28.037212371826172,-87.06985473632812,-32.78358459472656,0.4062190055847168,-11.935807228088379,-0.21559999883174896,11.766363143920898
35.35150146484375,31.37317657470703,-87.26950073242188,-35.989646911621094,0.3720110058784485,-11.042447090148926,-0.19835199415683746,10.94095516204834
30.536487579345703,34.73073196411133,-87.40440368652344,-38.84996032714844,0.30359500646591187,-10.149086952209473,-0.19835199415683746,10.04676342010498
25.705276489257812,37.99112319946289,-87.64722442626953,-41.96958541870117,0.26938700675964355,-9.187006950378418,-0.19835199415683746,9.135375022888184
20.350460052490234,40.970821380615234,-87.0428695678711,-44.99491500854492,0.20097100734710693,-8.259286880493164,-0.16385599970817566,8.258378982543945
14.990246772766113,44.02069091796875,-86.16332244873047,-47.57233810424805,0.14965899288654327,-7.262846946716309,-0.16385599970817566,7.278206825256348
9.57065486907959,46.98958969116211,-84.77655029296875,-49.45825958251953,0.08124300092458725,-6.249227046966553,-0.12936000525951385,6.298035144805908
4.102480888366699,49.580631256103516,-83.0120620727539,-51.38346862792969,0.029930999502539635,-5.201247215270996,-0.14660799503326416,5.300666809082031
-1.2469370365142822,51.97734451293945,-80.61083984375,-52.34214782714844,-0.02138100005686283,-4.170446872711182,-0.12936000525951385,4.268907070159912
