110kV I 母电压_A相_1,110kV I 母电压_B相_2,110kV I 母电压_C相_3,110kV I 母电压_3U0_4,大中II回线133_A相_9,大中II回线133_B相_10,大中II回线133_C相_11,大中II回线133_3I0_12
-36.81048583984375,-48.006065368652344,84.57581329345703,-0.7592419385910034,-0.7122467160224915,0.09247785061597824,0.7388671636581421,0.09232700616121292
-17.431032180786133,-46.54694366455078,77.65455627441406,23.815406799316406,-0.6474969983100891,-3.3661937713623047,0.7388671636581421,-3.305306911468506
6.777571201324463,-57.5576057434082,70.04015350341797,33.406646728515625,-0.9527456164360046,-8.544953346252441,0.3601977229118347,-9.23270034790039
24.072423934936523,-64.32543182373047,53.559505462646484,22.96319580078125,-0.739996612071991,-14.15835952758789,0.3509618937969208,-14.670761108398438
42.75002670288086,-61.717647552490234,33.29235076904297,25.008501052856445,-0.7122467160224915,-19.65154457092285,0.04617919772863388,-20.395036697387695
61.16574478149414,-63.7252311706543,12.942426681518555,17.958396911621094,-0.6752468943595886,-24.284685134887695,-0.18471679091453552,-25.269901275634766
74.15522003173828,-54.13229751586914,-7.707520484924316,21.661638259887695,-0.6382470726966858,-28.122514724731445,-0.5449145436286926,-29.406152725219727
81.37275695800781,-44.094383239746094,-30.033464431762695,12.752165794372559,-0.42549803853034973,-30.748886108398438,-0.7481029629707336,-32.06517028808594
83.36307525634766,-32.928497314453125,-48.62462615966797,3.2693889141082764,-0.2867486774921417,-31.969594955444336,-0.98823481798172,-33.38544464111328
79.91667938232422,-16.702260971069336,-63.85344314575195,-1.05364191532135,-0.14799931645393372,-31.57193946838379,-1.1914232969284058,-33.06230163574219
