5-玉溪墨江II回线电压Ua_5,6-玉溪墨江II回线电压Ub_6,7-玉溪墨江II回线电压Uc_7,8-玉溪墨江II回线电压3Uo_8,13-玉溪墨江II回线路电流Ia_13,14-玉溪墨江II回线路电流Ib_14,15-玉溪墨江II回线路电流Ic_15,16-玉溪墨江II回线路电流3Io_16
-89.65951538085938,4.848140239715576,-16.87525749206543,-175.3721466064453,0.38674622774124146,9.668655395507812,0.18301384150981903,10.279852867126465
-95.81292724609375,4.9102959632873535,-11.281249046325684,-176.5841827392578,0.40401169657707214,10.594083786010742,0.16574838757514954,11.22599983215332
-98.3613052368164,4.1022725105285645,-1.4606575965881348,-166.91897583007812,0.41782405972480774,11.36067008972168,0.15538911521434784,12.020211219787598
-97.70867156982422,3.853649854660034,15.259210586547852,-139.29080200195312,0.43163642287254333,11.961507797241211,0.14157673716545105,12.63486099243164
-95.28459930419922,3.853649854660034,37.324462890625,-98.39238739013672,0.44544878602027893,12.375879287719727,0.11395201086997986,13.073403358459473
-90.37430572509766,3.3564047813415527,58.27091598510742,-54.8212776184082,0.44544878602027893,12.589970588684082,0.08978037536144257,13.284042358398438
-86.24095916748047,2.89023756980896,69.58324432373047,-27.255250930786133,0.43854260444641113,12.659032821655273,0.07942110300064087,13.360010147094727
-78.40934753417969,2.6726927757263184,78.16072082519531,1.2431129217147827,0.41782405972480774,12.531268119812012,0.06560873240232468,13.228793144226074
-63.55414581298828,2.175447463989258,88.26101684570312,43.07386016845703,0.39019930362701416,12.248114585876465,0.05524946004152298,12.928374290466309
-38.94050979614258,1.6471245288848877,98.17484283447266,99.66657257080078,0.3418560326099396,11.712885856628418,0.037984006106853485,12.362067222595215
-21.630165100097656,1.2741906642913818,103.83100128173828,139.47726440429688,0.2900596559047699,11.001548767089844,0.010359274223446846,11.59202766418457
-12.586518287658691,0.8080233931541443,107.06309509277344,161.51144409179688,0.23135711252689362,10.083026885986328,-0.010359274223446846,10.618255615234375
-7.924844741821289,0.3418560326099396,108.5548324584961,172.85484313964844,0.17265456914901733,9.019474029541016,-0.037984006106853485,9.489094734191895
0.7147899270057678,0.0,107.2184829711914,184.4779510498047,0.10013964772224426,7.824705123901367,-0.05870255082845688,8.214903831481934
17.248191833496094,-0.3418560326099396,103.76884460449219,204.80284118652344,0.037984006106853485,6.512530326843262,-0.08287419378757477,6.830214500427246
40.432247161865234,-0.7147899270057678,97.8329849243164,232.21348571777344,-0.037984006106853485,5.117481231689453,-0.09668655693531036,5.352291584014893
60.63283157348633,-0.9944903254508972,88.82041931152344,252.0100555419922,-0.10359273850917816,3.680995225906372,-0.10704582929611206,3.8363845348358154
72.3802490234375,-1.2741906642913818,77.47701263427734,254.4962921142578,-0.16920147836208344,2.2237908840179443,-0.10704582929611206,2.323930501937866
83.13317108154297,-1.6782023906707764,58.92354965209961,242.5313262939453,-0.22445093095302582,0.7942109704017639,-0.10704582929611206,0.832194983959198
95.68861389160156,-2.237603187561035,37.51093292236328,225.8736114501953,-0.2727942168712616,-0.5663069486618042,-0.10704582929611206,-0.5904785990715027
103.45806884765625,-2.8280818462371826,23.339445114135742,214.49913024902344,-0.3142313063144684,-1.7748888731002808,-0.10704582929611206,-1.847403883934021
105.011962890625,-2.983470916748047,14.917354583740234,203.12464904785156,-0.35566839575767517,-2.8349878787994385,-0.10704582929611206,-2.9489400386810303
106.28614807128906,-2.983470916748047,9.043645858764648,195.69705200195312,-0.38674622774124146,-3.7293386459350586,-0.10359273850917816,-3.877821445465088
107.24956512451172,-2.7659261226654053,-1.3674241304397583,180.7486114501953,-0.41091787815093994,-4.4613938331604,-0.08978037536144257,-4.6340484619140625
104.07962799072266,-2.4862258434295654,-18.522382736206055,148.1168975830078,-0.42818331718444824,-5.013888359069824,-0.08287419378757477,-5.207261562347412
97.61544036865234,-2.1132919788360596,-40.92949295043945,100.75430297851562,-0.43854260444641113,-5.373010158538818,-0.06560873240232468,-5.576742649078369
90.7783203125,-1.6471245288848877,-60.35313034057617,55.877925872802734,-0.42473024129867554,-5.538758277893066,-0.05179636925458908,-5.735584735870361
82.88455200195312,-1.1498794555664062,-71.88300323486328,21.785552978515625,-0.40401169657707214,-5.497321128845215,-0.03453091159462929,-5.656163692474365
71.29252624511719,-0.6215564608573914,-81.01988220214844,-14.233642578125,-0.37293386459350586,-5.221074104309082,-0.017265455797314644,-5.3557448387146
53.95109939575195,-0.18646693229675293,-90.40538787841797,-58.6749267578125,-0.3349498510360718,-4.744547367095947,-0.0034530912525951862,-4.84123420715332
31.295366287231445,0.3418560326099396,-96.6209487915039,-106.7523193359375,-0.293512761592865,-4.071194648742676,0.010359274223446846,-4.126444339752197
15.694299697875977,0.8701789975166321,-99.6976547241211,-138.9800262451172,-0.2451694756746292,-3.2148280143737793,0.03453091159462929,-3.2044687271118164
8.763945579528809,1.3674241304397583,-100.72322082519531,-153.89736938476562,-0.18992002308368683,-2.1996190547943115,0.06215564161539078,-2.1167449951171875
2.797003984451294,2.175447463989258,-98.92070770263672,-160.54803466796875,-0.12776437401771545,-1.0600990056991577,0.08632728457450867,-0.901256799697876
-10.348915100097656,3.1699378490448,-93.94825744628906,-172.0468292236328,-0.05870255082845688,0.17265456914901733,0.10359273850917816,0.42127713561058044
-32.66279220581055,4.1022725105285645,-86.98682403564453,-194.951171875,0.010359274223446846,1.4502983093261719,0.11395201086997986,1.7645297050476074
-55.97115707397461,4.537362098693848,-78.19180297851562,-218.9121856689453,0.08632728457450867,2.721035957336426,0.11395201086997986,3.1215944290161133
-69.45893096923828,4.75490665435791,-66.78623962402344,-224.87911987304688,0.15884220600128174,3.9917736053466797,0.11395201086997986,4.457941055297852
-76.91761016845703,4.8170623779296875,-53.049842834472656,-216.6124267578125,0.22445093095302582,5.224527359008789,0.11395201086997986,5.763209342956543
-86.6760482788086,4.785984516143799,-38.256797790527344,-208.47003173828125,0.2866065800189972,6.391672134399414,0.11395201086997986,7.009775161743164
-95.31568145751953,4.661673545837402,-22.997589111328125,-197.96572875976562,0.3349498510360718,7.479395866394043,0.11049892008304596,8.145842552185059
-98.39238739013672,4.537362098693848,-8.359933853149414,-179.5054931640625,0.36948075890541077,8.463526725769043,0.10704582929611206,9.178317070007324
-99.38687133789062,4.319817066192627,5.189996242523193,-158.80767822265625,0.39365240931510925,9.302627563476562,0.11049892008304596,10.06576156616211
-100.69214630126953,4.071194648742676,19.01962661743164,-137.6747589111328,0.41782405972480774,9.993246078491211,0.10359273850917816,10.787457466125488
-98.60993194580078,3.791494369506836,33.03572463989258,-111.28968048095703,0.41782405972480774,10.511209487915039,0.09668655693531036,11.333045959472656
-92.64299011230469,3.4496383666992188,47.08290100097656,-77.91210174560547,0.42818331718444824,10.835800170898438,0.08978037536144257,11.674901962280273
-86.05448913574219,3.138859987258911,60.85037612915039,-43.229251861572266,0.42127713561058044,10.960111618041992,0.08632728457450867,11.816478729248047
-78.16072082519531,2.7348482608795166,73.5301284790039,-7.39652156829834,0.41782405972480774,10.877237319946289,0.07942110300064087,11.73705768585205
-66.84839630126953,2.268681049346924,84.43844604492188,30.891355514526367,0.39710548520088196,10.58027172088623,0.07251491397619247,11.440091133117676
-52.64583206176758,1.8025137186050415,93.07807922363281,68.744140625,0.37984004616737366,10.072667121887207,0.05870255082845688,10.929034233093262
-37.6973991394043,1.2741906642913818,99.48011016845703,104.17285919189453,0.3487622141838074,9.371689796447754,0.04489018768072128,10.207338333129883
-22.189565658569336,0.8391011953353882,103.33375549316406,136.61810302734375,0.3176844120025635,8.487698554992676,0.02417163923382759,9.285362243652344
-5.5318522453308105,0.37293386459350586,104.35932922363281,166.45281982421875,0.2624349296092987,7.4310526847839355,0.0034530912525951862,8.173466682434082
10.970471382141113,-0.062155645340681076,102.83650970458984,192.06094360351562,0.20718547701835632,6.229376792907715,-0.017265455797314644,6.909635543823242
26.820159912109375,-0.43508949875831604,98.92070770263672,212.75877380371094,0.13812364637851715,4.9102959632873535,-0.03107782080769539,5.514586925506592
42.45230484008789,-0.8080233931541443,92.39436340332031,228.6706085205078,0.06560873240232468,3.508340835571289,-0.03107782080769539,4.057382106781006
57.18319320678711,-1.1188015937805176,82.977783203125,238.3047332763672,-0.0069061825051903725,2.085667133331299,-0.02417163923382759,2.5656468868255615
70.04940795898438,-1.4295798540115356,70.36019134521484,239.29922485351562,-0.07596801221370697,0.6733527779579163,-0.017265455797314644,1.087723731994629
78.96874237060547,-1.926824927330017,46.585655212402344,214.12619018554688,-0.12085819244384766,-0.7389615178108215,0.010359274223446846,-0.3487622141838074
84.06550598144531,-2.610537052154541,25.701358795166016,186.52908325195312,-0.13467055559158325,-2.1029326915740967,0.06560873240232468,-1.6920146942138672
91.08909606933594,-3.045626640319824,14.699810028076172,177.82730102539062,-0.14157673716545105,-3.342592477798462,0.10013964772224426,-2.897143602371216
99.79088592529297,-3.2010157108306885,11.405560493469238,185.9696807861328,-0.16229529678821564,-4.40269136428833,0.11049892008304596,-3.981414318084717
103.42699432373047,-3.1699378490448,5.221074104309082,182.95513916015625,-0.17956075072288513,-5.3488383293151855,0.12085819244384766,-4.934467315673828
101.09615325927734,-2.9213151931762695,-7.987000465393066,159.05628967285156,-0.17956075072288513,-6.156861782073975,0.14502982795238495,-5.721772193908691
98.51669311523438,-2.610537052154541,-26.13644790649414,125.24362182617188,-0.18301384150981903,-6.75079345703125,0.16229529678821564,-6.322610378265381
96.77633666992188,-2.237603187561035,-46.11948776245117,88.44747924804688,-0.19682620465755463,-7.130633354187012,0.16574838757514954,-6.730074882507324
90.80939483642578,-1.8025137186050415,-62.746124267578125,50.47038269042969,-0.19682620465755463,-7.299835205078125,0.17265456914901733,-6.909635543823242
80.21186065673828,-1.2741906642913818,-75.36371612548828,11.001548767089844,-0.18301384150981903,-7.234226226806641,0.18992002308368683,-6.833667755126953
68.77522277832031,-0.8080233931541443,-85.58832550048828,-26.664772033691406,-0.17610765993595123,-6.916542053222656,0.18992002308368683,-6.5159831047058105
53.36062240600586,-0.37293386459350586,-92.76729583740234,-64.42432403564453,-0.15884220600128174,-6.374406337738037,0.18301384150981903,-5.9807538986206055
