500kV红宁乙线_5,500kV红宁乙线_6,500kV红宁乙线_7,500kV红宁乙线_8,500kV红宁乙线_29,500kV红宁乙线_30,500kV红宁乙线_31,500kV红宁乙线_32
-20.953723907470703,85.53938293457031,-63.67866897583008,1.2449599504470825,-0.0017300000181421638,0.2742049992084503,-0.1825149953365326,0.025949999690055847
-26.26387596130371,86.89388275146484,-59.581905364990234,1.2138359546661377,-0.012109999544918537,0.2742049992084503,-0.17213499546051025,0.025949999690055847
-31.66063690185547,87.81494140625,-55.15999984741211,1.2060550451278687,-0.036329999566078186,0.28458499908447266,-0.15483500063419342,0.029410000890493393
-36.88418197631836,88.51386260986328,-50.602622985839844,1.1904929876327515,-0.05017000064253807,0.28458499908447266,-0.14445500075817108,0.025949999690055847
-41.98863983154297,88.90937805175781,-45.963958740234375,1.042654037475586,-0.07092999666929245,0.2880449891090393,-0.1236950010061264,0.029410000890493393
-46.806209564208984,88.94188690185547,-41.238590240478516,0.9959679841995239,-0.08822999894618988,0.2880449891090393,-0.10985500365495682,0.02249000035226345
-51.445152282714844,88.60055541992188,-36.253108978271484,0.9025959968566895,-0.09860999882221222,0.29150500893592834,-0.09601499885320663,0.025949999690055847
-55.93252944946289,87.8257827758789,-31.142993927001953,0.7625380158424377,-0.11591000109910965,0.2880449891090393,-0.0856349989771843,0.025949999690055847
-60.133018493652344,86.6554946899414,-25.778182983398438,0.7002900242805481,-0.13666999340057373,0.29150500893592834,-0.06141500174999237,0.02249000035226345
-64.00872802734375,85.01925659179688,-20.39169692993164,0.5135459899902344,-0.1505099982023239,0.2880449891090393,-0.05103499814867973,0.02249000035226345
-67.63002014160156,83.0633544921875,-14.777612686157227,0.4435169994831085,-0.1643500030040741,0.2880449891090393,-0.0337349995970726,0.025949999690055847
-70.93736267089844,80.98284912109375,-9.353194236755371,0.47464099526405334,-0.17818999290466309,0.281125009059906,-0.01643499918282032,0.02249000035226345
-73.99029541015625,78.62059783935547,-3.993803024291992,0.5057650208473206,-0.18856999278068542,0.27766498923301697,0.0008650000090710819,0.02249000035226345
-76.82670593261719,76.00912475585938,1.3926830291748047,0.3968310058116913,-0.19894999265670776,0.2742049992084503,0.014705000445246696,0.02249000035226345
