1-220kVⅠ母电压Ua_1,2-220kVⅠ母电压Ub_2,3-220kVⅠ母电压Uc_3,4-220kVⅠ母电压3Uo_4,9-砚马Ⅰ回265电流Ia_9,10-砚马Ⅰ回265电流Ib_10,11-砚马Ⅰ回265电流Ic_11,12-砚马Ⅰ回265电流3Io_12
-34.99550247192383,-50.924659729003906,86.13654327392578,0.44368410110473633,-0.10051099210977554,-0.19707715511322021,0.29446348547935486,0.0035893640015274286
-30.100582122802734,-55.13933563232422,85.50272369384766,0.5070675611495972,-0.08615227788686752,-0.2114100456237793,0.2908724844455719,0.0035893640015274286
-24.983165740966797,-59.13218307495117,84.3618392944336,0.5070675611495972,-0.0682038888335228,-0.22574293613433838,0.2908724844455719,0.0
-20.024675369262695,-62.713069915771484,82.90404510498047,0.34860894083976746,-0.04666581749916077,-0.2364925891160965,0.28728145360946655,0.0035893640015274286
-14.939043045043945,-66.07213592529297,81.12934112548828,0.2852254807949066,-0.032307107001543045,-0.24365903437137604,0.28009942173957825,0.0035893640015274286
-9.821626663208008,-69.08261108398438,79.03772735595703,0.2852254807949066,-0.01076903473585844,-0.25440868735313416,0.2693263590335846,0.007178728003054857
-4.418142318725586,-71.8395767211914,76.43905639648438,0.3803006410598755,0.007179356645792723,-0.26515835523605347,0.26573535799980164,0.007178728003054857
1.080696702003479,-74.59654998779297,73.61853790283203,0.31691721081733704,0.025127748027443886,-0.272324800491333,0.25137126445770264,0.007178728003054857
6.452395439147949,-77.1316909790039,70.7663345336914,0.2852254807949066,0.04307613894343376,-0.2759080231189728,0.24418923258781433,0.01076809223741293
11.792308807373047,-79.44500732421875,67.69229888916016,0.1267668902873993,0.06461421400308609,-0.2830744683742523,0.22982516884803772,0.01076809223741293
17.036865234375,-81.2829818725586,64.17457580566406,0.03169172257184982,0.08256260305643082,-0.2866576910018921,0.22264312207698822,0.01076809223741293
22.281423568725586,-82.77237701416016,60.27656555175781,-0.19015032052993774,0.09692131727933884,-0.2866576910018921,0.21187007427215576,0.014357456006109715
27.55776596069336,-84.23008728027344,56.410247802734375,-0.4119923710823059,0.11845938861370087,-0.29382413625717163,0.19750599563121796,0.014357456006109715
32.89767837524414,-85.27583312988281,52.06855773925781,-0.4119923710823059,0.12563873827457428,-0.2974073588848114,0.18314193189144135,0.014357456006109715
38.14223861694336,-86.06806182861328,47.631797790527344,-0.3803006410598755,0.1471768170595169,-0.29382413625717163,0.16877785325050354,0.014357456006109715
43.16429901123047,-86.60678100585938,43.258419036865234,-0.1267668902873993,0.16512520611286163,-0.30099058151245117,0.15441378951072693,0.017946820706129074
47.963863372802734,-86.54340362548828,38.59981918334961,0.19015032052993774,0.17948392033576965,-0.2974073588848114,0.13645869493484497,0.017946820706129074
52.636287689208984,-86.28988647460938,33.751075744628906,0.34860894083976746,0.19384263455867767,-0.2974073588848114,0.12568563222885132,0.017946820706129074
56.70479202270508,-85.11738586425781,28.680490493774414,0.6021426916122437,0.2082013487815857,-0.29024091362953186,0.10773054510354996,0.017946820706129074
60.51901626586914,-83.75474548339844,23.546524047851562,0.6655261516571045,0.2225600630044937,-0.2866576910018921,0.08618443459272385,0.017946820706129074
63.9200325012207,-82.17028045654297,18.571014404296875,0.6655261516571045,0.23332910239696503,-0.2830744683742523,0.07182036340236664,0.017946820706129074
67.13034057617188,-80.26892852783203,13.373664855957031,0.5387592315673828,0.24409812688827515,-0.272324800491333,0.050274256616830826,0.02153618447482586
70.05457305908203,-78.08236694335938,8.144625663757324,0.31691721081733704,0.25486716628074646,-0.26515835523605347,0.03591018170118332,0.02153618447482586
