500kV_500kV建太甲线线路_Ua_1,500kV_500kV建太甲线线路_Ub_2,500kV_500kV建太甲线线路_Uc_3,500kV_500kV建太甲线线路_3U0_4,500kV_500kV建太甲线线路_Ia_21,500kV_500kV建太甲线线路_Ib_22,500kV_500kV建太甲线线路_Ic_23,500kV_500kV建太甲线线路_3I0_24
22.7874698638916,-84.40316009521484,61.429378509521484,-0.5294803977012634,0.03505804017186165,0.027980895712971687,0.03657691553235054,0.04205632209777832
28.2293701171875,-85.5940170288086,57.132747650146484,-0.6462774872779846,0.03505804017186165,0.029729701578617096,0.03657691553235054,0.03679928183555603
33.71798324584961,-86.96389770507812,52.76605987548828,-0.8876582384109497,0.04031674563884735,0.029729701578617096,0.03657691553235054,0.040303975343704224
50.518585205078125,-85.28268432617188,33.540191650390625,1.627373456954956,-0.11218572407960892,-0.11367239058017731,0.4197636842727661,0.12266428768634796
36.49732208251953,-93.97673797607422,25.86541175842285,-54.505332946777344,-0.005258705001324415,-0.07869627326726913,0.4302142262458801,0.3119177520275116
40.14861297607422,-96.74762725830078,31.46971321105957,-41.00358200073242,0.04908125847578049,-0.029729703441262245,0.3100329339504242,0.24708092212677002
52.05228042602539,-92.08537292480469,37.2141227722168,-4.897693634033203,0.010517412796616554,0.01224164105951786,0.3535768687725067,0.3224318325519562
60.413658142089844,-84.23192596435547,25.709735870361328,4.601807117462158,-0.007011606823652983,-0.020985672250390053,0.3988625705242157,0.29264193773269653
61.96292495727539,-82.37168884277344,17.78587532043457,-4.827615261077881,0.014023217372596264,0.0034976110327988863,0.43369773030281067,0.4065445065498352
64.72669219970703,-83.78048706054688,8.149589538574219,-18.742048263549805,0.01928192377090454,-0.001748807029798627,0.40060433745384216,0.34170764684677124
66.77421569824219,-84.86238098144531,12.095952033996582,-10.784269332885742,-0.015776116400957108,-0.005246418993920088,0.4545988440513611,0.37850695848464966
72.74551391601562,-77.91958618164062,0.9651854038238525,-7.513949394226074,0.031552236527204514,-0.0069952248595654964,0.4302142262458801,0.4065445065498352
77.5645980834961,-74.46376037597656,-2.0782620906829834,1.136825442314148,-0.01402321457862854,-0.020985672250390053,0.45634058117866516,0.33119356632232666
77.15975952148438,-72.79811096191406,-4.3277668952941895,-0.9655230045318604,-0.007011606823652983,-0.027980897575616837,0.4319559931755066,0.33294591307640076
83.69938659667969,-63.839420318603516,-10.157797813415527,16.297094345092773,-0.024540627375245094,-0.027980897575616837,0.4249889552593231,0.3084130585193634
80.15708923339844,-66.68814849853516,-10.188932418823242,4.656312465667725,0.010517412796616554,-0.017488060519099236,0.36925268173217773,0.3066607117652893
83.96408081054688,-64.85126495361328,-13.146759033203125,9.904397010803223,-0.01402321457862854,-0.027980897575616837,0.37796148657798767,0.2540903091430664
85.39656829833984,-59.62082290649414,-23.888338088989258,3.169095754623413,0.01928192377090454,-0.01224164292216301,0.3048076331615448,0.23656684160232544
88.05913543701172,-52.65468215942383,-26.26238250732422,15.744254112243652,0.0017529029864817858,0.029729701578617096,0.2159779816865921,0.19275815784931183
88.65081024169922,-47.51763916015625,-30.932634353637695,17.9711856842041,0.036810941994190216,0.006995222996920347,0.17417579889297485,0.1507018357515335
92.02183532714844,-42.17044448852539,-33.84375762939453,28.140323638916016,0.012270314618945122,-0.015739254653453827,0.17940106987953186,0.11915959417819977
88.37054443359375,-41.71122360229492,-33.283329010009766,23.102474212646484,0.04557545483112335,0.027980895712971687,0.09057141095399857,0.1033884659409523
90.0910873413086,-35.289920806884766,-37.844608306884766,29.425092697143555,0.04557545483112335,0.031478505581617355,0.005225270986557007,0.035046935081481934
89.96652221679688,-28.105846405029297,-41.08264923095703,36.05138397216797,0.057845767587423325,0.03672492504119873,-0.0888296589255333,-0.04556102678179741
88.68195343017578,-21.777944564819336,-45.044578552246094,37.94349670410156,0.04031674563884735,0.03497611731290817,-0.08708789944648743,-0.08761735260486603
85.93375396728516,-18.93700408935547,-50.08845138549805,29.051342010498047,0.05609286576509476,0.043720148503780365,-0.1271483302116394,-0.10514082759618759
83.88623046875,-16.134981155395508,-52.52476501464844,26.544095993041992,0.050834160298109055,0.03672492504119873,-0.2159779965877533,-0.18224409222602844
82.83522033691406,-8.055815696716309,-53.092979431152344,37.764408111572266,0.0753747895359993,0.057710595428943634,-0.3204834759235382,-0.2681090831756592
81.21588134765625,-1.5411126613616943,-54.595245361328125,43.775569915771484,0.07362188398838043,0.07694746553897858,-0.37796148657798767,-0.2978990077972412
78.21855926513672,2.661921739578247,-57.584205627441406,40.5052490234375,0.10342121869325638,0.07869626581668854,-0.4598241150379181,-0.3522217571735382
73.67195892333984,6.195583820343018,-62.98612976074219,29.479598999023438,0.10517412424087524,0.10492835938930511,-0.5608460903167725,-0.4135538935661316
70.45664978027344,11.542778015136719,-62.05207824707031,34.53302001953125,0.12095023691654205,0.12066761404275894,-0.6549010276794434,-0.4766383767127991
65.2249526977539,16.142765045166016,-58.72063446044922,39.20490646362305,0.12445604056119919,0.11192358285188675,-0.7193460464477539,-0.5467322468757629
