1-220kV Ⅰ段母线电压Ua_1,2-220kV Ⅰ段母线电压Ub_2,3-220kV Ⅰ段母线电压Uc_3,4-220kV Ⅰ段母线电压3Uo_4,9-220kV江汉Ⅰ回281断路器Ia_9,10-220kV江汉Ⅰ回281断路器Ib_10,11-220kV江汉Ⅰ回281断路器Ic_11,12-220kV江汉Ⅰ回281断路器3Io_12
-84.25977325439453,42.81236267089844,39.16812515258789,-3.717928409576416,-0.027663158252835274,-0.013831840828061104,0.04150998592376709,0.0
-84.1972885131836,40.46862030029297,41.41701126098633,-3.8741438388824463,-0.020747369155287743,-0.02074776217341423,0.04842831566929817,0.0
-82.35400390625,39.562374114990234,44.69664001464844,3.655442237854004,-0.020747369155287743,-0.027663681656122208,0.04842831566929817,0.0
-82.01034545898438,37.249881744384766,47.28910827636719,4.530248641967773,-0.020747369155287743,-0.02074776217341423,0.04842831566929817,0.0
-83.04132843017578,33.46864318847656,48.75712966918945,-1.3746962547302246,-0.020747369155287743,-0.027663681656122208,0.04842831566929817,0.0
-82.8538818359375,30.874902725219727,50.19392013549805,-2.9680941104888916,-0.013831579126417637,-0.027663681656122208,0.04842831566929817,0.0069157895632088184
-82.8538818359375,28.874908447265625,21.020851135253906,-59.361881256103516,-0.027663158252835274,-0.034579601138830185,0.27673324942588806,0.20747369527816772
-94.2572250366211,15.499951362609863,6.809131622314453,-123.66017150878906,-0.034578949213027954,-0.034579601138830185,0.2213865965604782,0.15214736759662628
-91.16426086425781,13.156208038330078,13.149744987487793,-112.31893157958984,-0.027663158252835274,-0.027663681656122208,0.1937132626771927,0.13831579685211182
-84.72840118408203,15.84369945526123,5.528514862060547,-111.569091796875,-0.020747369155287743,-0.034579601138830185,0.2559782564640045,0.19364210963249207
-76.76168060302734,19.43743896484375,36.79429626464844,-37.023067474365234,-0.013831579126417637,-0.04149552434682846,0.27673324942588806,0.21438947319984436
-73.1688461303711,19.687437057495117,39.13689041137695,-24.838260650634766,-0.027663158252835274,-0.034579601138830185,0.2628965675830841,0.2005579024553299
-77.04286193847656,14.93745231628418,21.583072662353516,-69.98453521728516,-0.027663158252835274,-0.034579601138830185,0.28365156054496765,0.21438947319984436
-80.76066589355469,8.281224250793457,28.204797744750977,-78.26395416259766,-0.034578949213027954,-0.04841144382953644,0.36667153239250183,0.2904631495475769
-73.57499694824219,9.406220436096191,43.32231903076172,-36.741878509521484,-0.041494738310575485,-0.055327363312244415,0.4081815183162689,0.3112105429172516
-67.38906860351562,14.374954223632812,53.62971878051758,1.7808564901351929,-0.034578949213027954,-0.06224328279495239,0.42893651127815247,0.3319579064846039
-59.89098358154297,18.562440872192383,40.511207580566406,-2.561933755874634,-0.05532631650567055,-0.08299104869365692,0.4981198310852051,0.3596210479736328
-50.17470932006836,24.124923706054688,34.63911437988281,14.309337615966797,-0.05532631650567055,-0.06915920227766037,0.5188748240470886,0.39419999718666077
-70.32582092285156,0.9062471389770508,13.118510246276855,-96.88484191894531,-0.048410527408123016,-0.06915920227766037,0.5396298170089722,0.4287789463996887
