500kV 冯华1线电压 Ua_1,500kV 冯华1线电压 Ub_2,500kV 冯华1线电压 Uc_3,500kV 冯华1线电压 3U0_4,500kV 冯华1线电流 Ia_33,500kV 冯华1线电流 Ib_34,500kV 冯华1线电流 Ic_35,500kV 冯华1线电流 3I0_36
-48.784000396728516,6.449160575866699,42.13226318359375,0.492985337972641,-1.9477466344833374,1.93743896484375,0.09297046065330505,0.07814040780067444
-50.426109313964844,5.478655815124512,43.87669372558594,1.7684870958328247,-2.011537551879883,2.036632537841797,0.12677790224552155,0.1478332132101059
-52.743919372558594,5.016883373260498,46.810150146484375,1.4554804563522339,-2.05193829536438,2.0640690326690674,0.10353528708219528,0.11404275894165039
-53.63175964355469,3.1463136672973633,48.429420471191406,3.568274736404419,-2.000905752182007,1.9965330362319946,0.09508342295885086,0.08869992941617966
-49.608985900878906,-1.377490520477295,49.75143051147461,2.0345425605773926,-2.1369926929473877,2.1653730869293213,0.12889087200164795,0.14994511008262634
-52.21750259399414,-1.925356149673462,51.769649505615234,4.131686687469482,-2.239058017730713,2.254014015197754,0.12889087200164795,0.13938559591770172
-55.22672653198242,-1.776649832725525,55.031654357910156,3.2865688800811768,-2.2624480724334717,2.258234977722168,0.08663156628608704,0.07814040780067444
-50.92110061645508,-6.762226581573486,56.53358459472656,1.9249902963638306,-2.239058017730713,2.2286880016326904,0.08663156628608704,0.07391660660505295
-50.70110321044922,-9.0789155960083,58.583091735839844,2.018892288208008,-2.3368706703186035,2.376422882080078,0.12043900787830353,0.15416891872882843
-50.98395538330078,-10.315526008605957,60.796875,0.8920686841011047,-2.455946922302246,2.46506404876709,0.11832603812217712,0.12249037623405457
-55.12458419799805,-8.671929359436035,64.48129272460938,-1.3615785837173462,-2.4814631938934326,2.5009424686431885,0.10353528708219528,0.11826656758785248
-53.5610466003418,-11.348644256591797,65.17750549316406,-0.5634118318557739,-2.4750843048095703,2.5030529499053955,0.12466493248939514,0.14994511008262634
-53.13676834106445,-13.360093116760254,66.0379867553711,0.9624951481819153,-2.5771496295928955,2.629683017730713,0.14156866073608398,0.19007126986980438
-53.726043701171875,-13.336613655090332,67.9232177734375,-1.5885082483291626,-2.7004785537719727,2.695108413696289,0.10353528708219528,0.0908118262887001
-53.61604690551758,-17.43777847290039,70.3169174194336,1.3694037199020386,-2.7047312259674072,2.695108413696289,0.08451859652996063,0.0718047022819519
-57.591678619384766,-15.559382438659668,73.75884246826172,-1.118998408317566,-2.7047312259674072,2.733097553253174,0.11410011351108551,0.13938559591770172
-54.78673553466797,-18.07173728942871,74.63497161865234,-3.153541088104248,-2.787659168243408,2.8301804065704346,0.11621307581663132,0.15839272737503052
-53.90675354003906,-19.707508087158203,73.7353744506836,-0.2738807499408722,-2.8578290939331055,2.8892745971679688,0.1077612116932869,0.13938559591770172
-56.837406158447266,-20.278852462768555,75.69883728027344,2.558828592300415,-2.82380747795105,2.8618381023406982,0.10564824938774109,0.14149750769138336
-56.3424186706543,-22.525100708007812,79.25027465820312,-0.6338382959365845,-2.8280601501464844,2.906158447265625,0.13100382685661316,0.21119029819965363
-52.885345458984375,-25.11572265625,78.99995422363281,-1.862389087677002,-2.925872802734375,2.954699993133545,0.09930935502052307,0.12460228055715561
-51.83251190185547,-28.73946189880371,78.9608383178711,2.8640100955963135,-2.9492626190185547,2.956810474395752,0.07817970216274261,0.08447612076997757
-53.568904876708984,-29.240367889404297,80.80696105957031,3.4978482723236084,-2.936504602432251,2.961031436920166,0.09508342295885086,0.12249037623405457
-52.27250289916992,-30.90744400024414,83.08332824707031,0.12520262598991394,-2.9194936752319336,2.9863574504852295,0.1077612116932869,0.17317605018615723
-49.34970474243164,-34.883384704589844,82.9112319946289,2.2692975997924805,-3.000295400619507,3.0222361087799072,0.10353528708219528,0.12671418488025665
-48.9647102355957,-37.15311050415039,83.30235290527344,4.843776702880859,-2.987537145614624,3.0306780338287354,0.08663156628608704,0.1288260817527771
-46.324764251708984,-40.338558197021484,84.51485443115234,3.5760998725891113,-2.9811580181121826,3.0454514026641846,0.12889087200164795,0.19640697538852692
-44.454803466796875,-41.17601013183594,85.17977142333984,0.8451176881790161,-2.9832844734191895,3.0433409214019775,0.1119871437549591,0.17106413841247559
-42.54555892944336,-44.0875244140625,86.49395751953125,0.1330277919769287,-3.040696144104004,3.0496726036071777,0.08451859652996063,0.09292373061180115
-44.604087829589844,-43.73532485961914,87.1901626586914,2.042367696762085,-3.021559000015259,3.0454514026641846,0.07606673985719681,0.10348324477672577
-43.94409942626953,-42.96831512451172,87.80032348632812,-1.6276341676712036,-3.008800745010376,3.066556453704834,0.09930935502052307,0.1626165360212326
-42.1291389465332,-43.4848747253418,87.04936218261719,-2.4101505279541016,-3.0130536556243896,3.058114528656006,0.09085749834775925,0.13516178727149963
-43.354827880859375,-42.756996154785156,87.26838684082031,-1.971941351890564,-3.021559000015259,3.066556453704834,0.073953777551651,0.12249037623405457
-43.9833869934082,-43.27355194091797,87.95677185058594,-1.1659494638442993,-2.9960427284240723,3.072887897491455,0.09085749834775925,0.17106413841247559
-43.23697280883789,-43.33616638183594,88.9345932006836,-4.045609951019287,-2.976905345916748,3.074998617172241,0.10142231732606888,0.19851888716220856
-39.968467712402344,-46.08332061767578,88.48870849609375,-4.319490432739258,-2.9981689453125,3.015904426574707,0.073953777551651,0.09503563493490219
-39.84275436401367,-47.21818542480469,87.99588775634766,-1.5650328397750854,-2.9811580181121826,3.0137939453125,0.05071115866303444,0.08447612076997757
-42.39627456665039,-45.504150390625,88.68427276611328,-1.3459281921386719,-2.968400001525879,3.0222361087799072,0.08029267191886902,0.14149750769138336
-40.487030029296875,-47.006866455078125,88.8407211303711,-2.378849744796753,-2.9216201305389404,2.9884679317474365,0.0718408077955246,0.1436094045639038
-39.01777267456055,-47.16339874267578,87.30750274658203,-1.9875916242599487,-2.9088618755340576,2.9441475868225098,0.06550191342830658,0.10137134045362473
-37.76065444946289,-48.53306198120117,86.21234893798828,0.15650327503681183,-2.872713804244995,2.9314844608306885,0.06761488318443298,0.13093797862529755
-38.954917907714844,-47.49994659423828,86.60346984863281,-0.1643284410238266,-2.8790926933288574,2.96525239944458,0.10564824938774109,0.19851888716220856
-36.44853973388672,-48.376529693603516,85.82904052734375,-1.6980606317520142,-2.8386919498443604,2.8892745971679688,0.07606673985719681,0.12671418488025665
-32.912899017333984,-49.71488571166992,83.00509643554688,-0.5790621638298035,-2.819554567337036,2.8365120887756348,0.052824124693870544,0.0718047022819519
-31.231502532958984,-50.88105773925781,81.21373748779297,1.6902353763580322,-2.781280279159546,2.8301804065704346,0.04859819635748863,0.10137134045362473
-27.609434127807617,-53.64386749267578,81.17462158203125,0.31300655007362366,-2.768522024154663,2.84706449508667,0.052824124693870544,0.13516178727149963
-25.598047256469727,-54.40304946899414,79.97776794433594,0.07042647898197174,-2.715363025665283,2.7563130855560303,0.04014633595943451,0.08658802509307861
-26.226606369018555,-52.649879455566406,78.67922973632812,0.4616846740245819,-2.664330244064331,2.7225449085235596,0.03380744159221649,0.09503563493490219
-22.70667839050293,-53.792572021484375,76.84874725341797,-0.5086356401443481,-2.6281821727752686,2.7119925022125244,0.07606673985719681,0.16050462424755096
-22.337400436401367,-53.54994583129883,76.8722152709961,-1.635459303855896,-2.600539445877075,2.684556007385254,0.06338895112276077,0.1478332132101059
-21.858123779296875,-53.53429412841797,75.84746551513672,-0.7512157559394836,-2.5558860301971436,2.572699546813965,0.042259298264980316,0.06124518811702728
-22.13311767578125,-51.82808303833008,74.54891967773438,-0.9233693480491638,-2.511232376098633,2.5642573833465576,0.01267778966575861,0.06758089363574982
-19.2967472076416,-52.438560485839844,72.53070068359375,-1.298977255821228,-2.455946922302246,2.530489444732666,0.03380744159221649,0.11404275894165039
-18.220340728759766,-52.68118667602539,71.4198989868164,-0.8372925519943237,-2.4176723957061768,2.473505973815918,0.023242615163326263,0.08025231212377548
-16.947509765625,-52.56378936767578,69.9336166381836,-0.6260131001472473,-2.353881597518921,2.3890860080718994,0.01479075476527214,0.052797574549913406
-13.364726066589355,-53.424720764160156,67.21919250488281,-0.6651389598846436,-2.298596143722534,2.36798095703125,0.02958150953054428,0.10348324477672577
-11.43190860748291,-53.956932067871094,65.6233901977539,-0.31300655007362366,-2.2305526733398438,2.310997486114502,0.05493709072470665,0.13938559591770172
