110kV II 母电压_A相_5,110kV II 母电压_B相_6,110kV II 母电压_C相_7,110kV II 母电压_3U0_8,110kV黎腊I线137_A相_25,110kV黎腊I线137_B相_26,110kV黎腊I线137_C相_27,110kV黎腊I线137_3I0_28
-4.450076580047607,-58.66173553466797,57.71647644042969,-9.310430526733398,-4.261184215545654,0.19101940095424652,2.935861587524414,-1.0896245241165161
10.210223197937012,-67.90496063232422,51.69136047363281,-10.275726318359375,-4.12925910949707,0.015130249783396721,3.7065725326538086,-0.3745584189891815
25.34880256652832,-77.11699676513672,44.47160720825195,-12.486563682556152,-3.7447915077209473,-0.011347686871886253,4.18520450592041,0.4540102183818817
37.898433685302734,-78.74937438964844,33.95881271362305,-11.801515579223633,-3.073857545852661,-0.009456406347453594,4.356683254241943,1.2958208322525024
46.12275695800781,-73.8834228515625,22.095563888549805,-9.559538841247559,-2.1899585723876953,-0.0075651248916983604,4.26434850692749,2.0695297718048096
52.38197708129883,-59.805442810058594,9.671353340148926,3.939028263092041,-1.0403245687484741,-0.0037825624458491802,4.089101314544678,3.0494351387023926
60.84544372558594,-50.85334014892578,-7.095096111297607,5.028878211975098,-0.03203897923231125,-0.011347686871886253,3.3221592903137207,3.278331995010376
80.20535278320312,-40.70554733276367,-35.724796295166016,6.570236682891846,-0.013192521408200264,-0.0075651248916983604,2.5627548694610596,2.5121898651123047
73.4886474609375,-17.19718360900879,-48.40871047973633,14.027922630310059,-0.018846459686756134,-0.011347686871886253,1.5828779935836792,1.5228259563446045
57.22715377807617,3.254364252090454,-53.665103912353516,12.097332000732422,-0.018846459686756134,-0.011347686871886253,0.5728510618209839,0.5088697671890259
52.0804557800293,26.024517059326172,-80.5184326171875,-3.6587812900543213,-0.013192521408200264,-0.0075651248916983604,0.022612541913986206,-0.02080880105495453
31.58722686767578,53.067970275878906,-84.07117462158203,1.3700968027114868,-0.01696181297302246,-0.009456406347453594,0.022612541913986206,-0.015133673325181007
14.098841667175293,66.03343963623047,-77.40199279785156,5.028878211975098,-0.018846459686756134,-0.005673843435943127,0.020728163421154022,-0.015133673325181007
-9.47200870513916,75.08951568603516,-69.94331359863281,-7.348701000213623,-0.018846459686756134,-0.005673843435943127,0.01884378492832184,-0.011350255459547043
-29.77808380126953,83.95844268798828,-51.317386627197266,4.9666008949279785,-0.018846459686756134,-0.0075651248916983604,0.01884378492832184,-0.015133673325181007
-49.730648040771484,82.17009735107422,-32.02661895751953,0.8874490857124329,-0.018846459686756134,-0.0075651248916983604,0.022612541913986206,-0.015133673325181007
-66.6783676147461,80.3713607788086,-15.156289100646973,-2.4910850524902344,-0.01696181297302246,-0.0075651248916983604,0.01884378492832184,-0.013241964392364025
-77.08614349365234,68.4144287109375,10.024550437927246,2.475515842437744,-0.015077167190611362,-0.009456406347453594,0.020728163421154022,-0.013241964392364025
-81.75456237792969,50.64539337158203,29.62696075439453,-2.600069999694824,-0.01696181297302246,-0.0037825624458491802,0.020728163421154022,-0.015133673325181007
-82.4303970336914,32.262916564941406,50.72526168823242,1.0587111711502075,-0.015077167190611362,-0.005673843435943127,0.020728163421154022,-0.015133673325181007
-80.2365493774414,12.767921447753906,66.82687377929688,-1.1521269083023071,-0.01696181297302246,-0.0075651248916983604,0.01884378492832184,-0.015133673325181007
-66.71995544433594,-9.33680248260498,76.20735931396484,0.24910850822925568,-0.015077167190611362,-0.005673843435943127,0.01884378492832184,-0.011350255459547043
-50.71839904785156,-30.55775260925293,82.20130920410156,1.6347745656967163,-0.018846459686756134,-0.0037825624458491802,0.020728163421154022,-0.011350255459547043
-31.878353118896484,-51.89307403564453,82.86614990234375,-1.4946510791778564,-0.020731104537844658,-0.005673843435943127,0.020728163421154022,-0.013241964392364025
-12.331287384033203,-66.61569213867188,79.69776916503906,1.4635125398635864,-0.01696181297302246,-0.005673843435943127,0.020728163421154022,-0.015133673325181007
9.232869148254395,-77.18977355957031,67.08657836914062,-1.3389582633972168,-0.015077167190611362,-0.0075651248916983604,0.016959406435489655,-0.011350255459547043
31.493650436401367,-82.70036315917969,50.714874267578125,-0.5916327238082886,-0.015077167190611362,-0.005673843435943127,0.01884378492832184,-0.011350255459547043
51.37343215942383,-83.15784454345703,31.611095428466797,-0.06227712705731392,-0.01696181297302246,-0.005673843435943127,0.01884378492832184,-0.015133673325181007
67.4477767944336,-80.22579956054688,12.164505958557129,-0.7161869406700134,-0.015077167190611362,-0.0075651248916983604,0.01884378492832184,-0.007566836662590504
77.49163818359375,-67.3331069946289,-9.91028118133545,0.7161869406700134,-0.013192521408200264,-0.0037825624458491802,0.022612541913986206,-0.013241964392364025
