1-110kVⅠ段母线电压Ua_1,2-110kVⅠ段母线电压Ub_2,3-110kVⅠ段母线电压Uc_3,4-110kVⅠ段母线电压3Uo_4,25-110kV朋勒T 132线路电流Ia_25,26-110kV朋勒T 132线路电流Ib_26,27-110kV朋勒T 132线路电流Ic_27,28-110kV朋勒T 132线路电流3Io_28
8.492427825927734,-77.37529754638672,68.84276580810547,-0.03169680014252663,0.0287968497723341,-0.22282209992408752,0.20167598128318787,0.007200772408396006
13.549715995788574,-79.43567657470703,65.798583984375,-0.15848399698734283,0.043195273727178574,-0.22282209992408752,0.18006783723831177,0.0
18.702425003051758,-81.1790771484375,62.247047424316406,-0.348664790391922,0.06479290872812271,-0.23000991344451904,0.1728651225566864,0.007200772408396006
23.727907180786133,-82.41531372070312,58.53696060180664,-0.28527119755744934,0.07919133454561234,-0.24438554048538208,0.15845970809459686,0.0
28.753389358520508,-83.52474975585938,54.63661193847656,-0.19018079340457916,0.09358976036310196,-0.24438554048538208,0.1512569934129715,0.0
33.71525573730469,-84.53909301757812,50.64112854003906,-0.28527119755744934,0.10798818618059158,-0.24438554048538208,0.1512569934129715,0.007200772408396006
38.23182678222656,-84.63418579101562,46.26512908935547,-0.253574401140213,0.12238661199808121,-0.23719772696495056,0.13685156404972076,0.014401544816792011
42.68478775024414,-84.50739288330078,41.508602142333984,-0.4754520058631897,0.12958581745624542,-0.24438554048538208,0.1296488493680954,0.014401544816792011
47.29677963256836,-84.3488998413086,36.62523651123047,-0.602239191532135,0.15118345618247986,-0.24438554048538208,0.11524342000484467,0.03600386157631874
50.2230110168457,-73.09603881835938,37.95706558227539,21.331945419311523,0.6839251518249512,-0.3162636458873749,0.554608941078186,0.9216988682746887
22.392019271850586,-68.30961608886719,17.313749313354492,-54.13813400268555,1.1374754905700684,-0.40970516204833984,0.8499202132225037,1.5769691467285156
41.73058319091797,-77.05831146240234,17.155197143554688,-32.83788299560547,1.4902369976043701,-0.5534613728523254,1.001177191734314,1.9370077848434448
56.457149505615234,-71.73301696777344,11.288818359375,-4.405855178833008,1.677416443824768,-0.5534613728523254,0.993974506855011,2.1170270442962646
56.107276916503906,-66.9148941040039,9.10081672668457,-2.7576215267181396,1.8645960092544556,-0.5534613728523254,0.9219473600387573,2.246640920639038
60.973724365234375,-70.40169525146484,13.635370254516602,8.43134880065918,2.1165683269500732,-0.6253394484519958,0.8355147838592529,2.347451686859131
58.23833465576172,-70.08470916748047,9.798439979553223,-4.691126346588135,2.3757400512695312,-0.6397150754928589,0.7562849521636963,2.4986679553985596
59.63783645629883,-75.15642547607422,5.359017372131348,-18.130569458007812,2.6565093994140625,-0.6756541132926941,0.6626496315002441,2.6498842239379883
63.009361267089844,-68.18282318115234,6.151771545410156,2.1870791912078857,2.951677083969116,-0.7115931510925293,0.5041899681091309,2.7578959465026855
63.16839599609375,-60.03638458251953,1.1415657997131348,7.955896854400635,3.2252471446990967,-0.697217583656311,0.3169194161891937,2.851505756378174
64.0907974243164,-56.83486557006836,-8.78371524810791,-2.504047155380249,3.477219581604004,-0.7259687781333923,0.11524342000484467,2.8803088665008545
57.72942352294922,-55.915618896484375,-12.24012279510498,-18.384143829345703,3.7435903549194336,-0.7547200322151184,-0.07922985404729843,2.909111976623535
61.51443862915039,-51.763153076171875,-17.662561416625977,-14.358650207519531,4.045957088470459,-0.7547200322151184,-0.3241221308708191,2.9667181968688965
65.49029541015625,-45.48691177368164,-21.4677791595459,-2.4723503589630127,4.333925724029541,-0.7619078755378723,-0.5690143704414368,3.009922981262207
65.49029541015625,-38.35481643676758,-24.163143157958984,5.546939849853516,4.614695072174072,-0.7690956592559814,-0.7922984957695007,3.045926809310913
69.3707275390625,-33.980464935302734,-29.10993003845215,10.967092514038086,4.888265132904053,-0.7834712862968445,-1.0227853059768677,3.0675289630889893
64.7269287109375,-32.49065017700195,-30.695436477661133,2.5674407482147217,5.154635906219482,-0.7690956592559814,-1.2964885234832764,3.0675289630889893
61.1009521484375,-29.352529525756836,-32.69317626953125,-1.9652016162872314,5.4138078689575195,-0.7690956592559814,-1.5773942470550537,3.060328245162964
63.550079345703125,-26.753276824951172,-36.276424407958984,0.7607231736183167,5.680178642272949,-0.7690956592559814,-1.8583000898361206,3.024324417114258
61.92792892456055,-22.537418365478516,-41.064659118652344,-2.8210151195526123,5.924951553344727,-0.7547200322151184,-2.146408796310425,2.9883205890655518
62.02334976196289,-18.41665267944336,-44.29909896850586,-1.1727815866470337,6.169724941253662,-0.7403444051742554,-2.4417200088500977,2.9523167610168457
58.96989059448242,-11.950220108032227,-48.13602828979492,-1.9335048198699951,6.392900466918945,-0.697217583656311,-2.7442338466644287,2.909111976623535
54.48512649536133,-2.884535789489746,-51.43388366699219,0.28527119755744934,6.608876705169678,-0.6540907025337219,-3.0611534118652344,2.8443050384521484
54.675968170166016,2.6943466663360596,-54.19266891479492,5.483546257019043,6.803255558013916,-0.6253394484519958,-3.385275363922119,2.7362935543060303
53.467308044433594,7.258886814117432,-56.28553771972656,7.670625686645508,6.983235836029053,-0.5822126269340515,-3.709397554397583,2.6354827880859375
