17-110kV母线Ⅱ段电压Ua_17,18-110kV母线Ⅱ段电压Ub_18,19-110kV母线Ⅱ段电压Uc_19,20-110kV母线Ⅱ段电压3Uo_20,5-110kV普八线路电流Ia_5,6-110kV普八线路电流Ib_6,7-110kV普八线路电流Ic_7,8-110kV普八线路电流3Io_8
-82.88262939453125,50.41522216796875,31.174327850341797,-2.3103883266448975,-0.45869019627571106,-1.9759386777877808,-1.5516799688339233,-3.9525232315063477
-84.43807220458984,46.8390007019043,36.42807388305664,-2.025546073913574,-0.5645418167114258,-1.7642309665679932,-1.728007197380066,-4.058394432067871
-85.04119873046875,42.851356506347656,41.5235710144043,-1.1077204942703247,-0.7409610748291016,-1.5878078937530518,-1.9043344259262085,-4.1642656326293945
-84.78724670410156,38.51558303833008,46.302581787109375,0.0,-0.8468126654624939,-1.340815544128418,-2.115927219390869,-4.270136833190918
-83.51750183105469,33.64179611206055,50.41695785522461,0.9494746923446655,-0.9173803925514221,-1.1291078329086304,-2.2922544479370117,-4.376008033752441
-81.6446304321289,28.451528549194336,54.02495193481445,1.3925628662109375,-0.9879481196403503,-0.9174001216888428,-2.4685816764831543,-4.340717315673828
-79.7400131225586,22.91313362121582,57.601295471191406,1.3925628662109375,-1.0232319831848145,-0.6351231336593628,-2.644908905029297,-4.305427074432373
-78.05760192871094,17.40638542175293,61.114341735839844,0.6962814331054688,-0.9879481196403503,-0.4234154224395752,-2.8212363719940186,-4.19955587387085
-76.62913513183594,12.089526176452637,64.53244018554688,-0.0316491574048996,-0.9879481196403503,-0.2117077112197876,-2.9622981548309326,-4.1642656326293945
-75.61334228515625,7.057498455047607,67.88724517822266,-1.1393696069717407,-1.0232319831848145,0.0352846197783947,-3.068094491958618,-4.058394432067871
-74.34358978271484,2.2470061779022217,70.98885345458984,-1.8040019273757935,-1.0937997102737427,0.2822769582271576,-3.1738908290863037,-3.9525232315063477
-72.62944030761719,-2.5318379402160645,73.96385955810547,-2.025546073913574,-1.0232319831848145,0.529269278049469,-3.2796871662139893,-3.811361789703369
-70.24866485595703,-7.532217979431152,76.62238311767578,-1.867300271987915,-1.0232319831848145,0.7409769892692566,-3.385483503341675,-3.5996193885803223
-67.23301696777344,-12.690837860107422,79.05936431884766,-1.4242119789123535,-0.9879481196403503,1.0232539176940918,-3.4912798404693604,-3.4231674671173096
-63.89993667602539,-18.039344787597656,81.4013900756836,-0.8545272350311279,-0.9173803925514221,1.2702462673187256,-3.5618107318878174,-3.246715545654297
-59.900238037109375,-23.482797622680664,83.01549530029297,-0.6329831480979919,-0.8115288019180298,1.446669340133667,-3.6323416233062744,-2.9643924236297607
-55.8053092956543,-28.768009185791016,84.18650817871094,-0.664632260799408,-0.6703933477401733,1.6936616897583008,-3.6323416233062744,-2.6820693016052246
-51.58340835571289,-33.70509338378906,84.72454071044922,-0.9811238646507263,-0.5645418167114258,1.8700847625732422,-3.667607069015503,-2.3644559383392334
-47.29801559448242,-38.35734558105469,84.85114288330078,-1.3609137535095215,-0.45869019627571106,2.0465078353881836,-3.6323416233062744,-2.0821328163146973
-43.044368743896484,-42.81970977783203,84.787841796875,-1.898949384689331,-0.3528386056423187,2.2582156658172607,-3.667607069015503,-1.7292289733886719
-38.854209899902344,-47.06053924560547,84.59794616699219,-2.2787392139434814,-0.21170316636562347,2.434638738632202,-3.6323416233062744,-1.376325011253357
-34.37835693359375,-50.88994216918945,83.9649658203125,-2.3103883266448975,-0.07056772708892822,2.6463463306427,-3.6323416233062744,-1.0940020084381104
-29.775529861450195,-54.78264236450195,83.30033874511719,-2.0888442993164062,0.0,2.787484884262085,-3.6323416233062744,-0.7763885259628296
-24.633060455322266,-58.770286560058594,82.4141616821289,-1.6457561254501343,0.07056772708892822,2.9639079570770264,-3.5618107318878174,-0.5293557643890381
-19.077924728393555,-62.66299057006836,81.0216064453125,-1.1710188388824463,0.10585158318281174,3.0697617530822754,-3.526545286178589,-0.3529038727283478
-13.332326889038086,-66.17591094970703,79.0277099609375,-0.8228780627250671,0.07056772708892822,3.21090030670166,-3.456014394760132,-0.1764519363641739
-7.554985046386719,-69.56224822998047,76.87557220458984,-0.41143903136253357,-0.03528386354446411,3.2814695835113525,-3.2796871662139893,0.0
-1.7776435613632202,-72.47386169433594,74.0904541015625,-0.18989494442939758,-0.10585158318281174,3.3873233795166016,-3.2091562747955322,0.10587115585803986
3.9996979236602783,-75.00569915771484,70.92555236816406,-0.0632983148097992,-0.24698702991008759,3.4931771755218506,-3.068094491958618,0.14116154611110687
9.42785930633545,-77.12611389160156,67.57074737548828,-0.31649157404899597,-0.42340633273124695,3.5990312099456787,-2.927032709121704,0.2117423117160797
14.53858470916748,-79.2781753540039,64.40584564208984,-0.5696848034858704,-0.5645418167114258,3.6343157291412354,-2.7507052421569824,0.31761348247528076
19.490591049194336,-81.08210754394531,61.01939392089844,-0.8228780627250671,-0.7056772112846375,3.7401695251464844,-2.6096434593200684,0.3881942629814148
24.442598342895508,-82.37967681884766,57.28480529785156,-1.0760712623596191,-0.8468126654624939,3.7401695251464844,-2.503847122192383,0.49406540393829346
29.204143524169922,-83.36076354980469,53.5185661315918,-1.1393696069717407,-0.9879481196403503,3.7401695251464844,-2.256989002227783,0.5646461844444275
33.93394470214844,-84.05702209472656,49.40419006347656,-1.1393696069717407,-1.0585159063339233,3.7401695251464844,-2.045396327972412,0.5999365448951721
38.60026168823242,-84.24691009521484,44.94166946411133,-1.1393696069717407,-1.1290836334228516,3.7048850059509277,-1.86906898021698,0.7058077454566956
43.17134475708008,-84.08866882324219,40.25761032104492,-1.0760712623596191,-1.164367437362671,3.7048850059509277,-1.6574763059616089,0.8822596669197083
47.36150360107422,-83.51900482177734,35.510250091552734,-0.9811238646507263,-1.1996512413024902,3.669600486755371,-1.4458836317062378,1.0234211683273315
51.170738220214844,-82.60121154785156,30.69959259033203,-1.1077204942703247,-1.2702189683914185,3.669600486755371,-1.1990253925323486,1.1998730897903442
