500kV鲁仁甲线_Ua_5,500kV鲁仁甲线_Ub_6,500kV鲁仁甲线_Uc_7,500kV鲁仁甲线_3U0_8,500kV鲁仁甲线_Ia_45,500kV鲁仁甲线_Ib_46,500kV鲁仁甲线_Ic_47,500kV鲁仁甲线_3I0_48
-31.752975463867188,-53.61669921875,85.78205108642578,0.6769195795059204,0.2661052644252777,0.32043296098709106,-0.5208882689476013,0.022467119619250298
-26.890047073364258,-57.53816604614258,84.78612518310547,0.5679900050163269,0.23479874432086945,0.34822118282318115,-0.5243436098098755,0.022467119619250298
-21.91040802001953,-61.65414810180664,83.92247009277344,0.6613582372665405,0.20349225401878357,0.37600940465927124,-0.5105223655700684,0.022467119619250298
-16.798498153686523,-65.21770477294922,82.42857360839844,0.6613582372665405,0.1721857488155365,0.40379762649536133,-0.5036117434501648,0.022467119619250298
-11.601001739501953,-68.64898681640625,80.68570709228516,0.7236037254333496,0.14783625304698944,0.41769173741340637,-0.49670109152793884,0.019010640680789948
-6.185644626617432,-71.97911834716797,78.65494537353516,0.7391650676727295,0.10609424859285355,0.4420064389705658,-0.4863351583480835,0.015554159879684448
-0.7236037254333496,-74.77238464355469,75.93170166015625,0.6068934202194214,0.06783074885606766,0.4663211405277252,-0.47251391410827637,0.022467119619250298
4.341622352600098,-77.0521240234375,73.02951049804688,0.5757706761360168,0.02956724911928177,0.4871622920036316,-0.45523735880851746,0.022467119619250298
9.663610458374023,-79.48748016357422,69.98725891113281,0.22563986480236053,0.0017392500303685665,0.501056432723999,-0.4414161145687103,0.025923600420355797
14.931134223937988,-81.16810607910156,66.16694641113281,-0.12449096143245697,-0.02608874998986721,0.521897554397583,-0.4241395592689514,0.022467119619250298
20.486543655395508,-83.04325103759766,62.29216384887695,-0.389034241437912,-0.05739524960517883,0.5288446545600891,-0.39995235204696655,0.022467119619250298
25.754066467285156,-84.41265106201172,58.26955032348633,-0.5757706761360168,-0.09913724660873413,0.5427387356758118,-0.3723098635673523,0.022467119619250298
30.936002731323242,-85.40857696533203,54.10688400268555,-0.6691389083862305,-0.12348674982786179,0.5496857762336731,-0.34466737508773804,0.022467119619250298
36.08681869506836,-86.02325439453125,49.63298797607422,-0.47462180256843567,-0.16175025701522827,0.5531593561172485,-0.32393550872802734,0.019010640680789948
41.128700256347656,-86.38116455078125,44.94123840332031,-0.389034241437912,-0.19305674731731415,0.5635799169540405,-0.2962929904460907,0.025923600420355797
45.84379577636719,-86.33448028564453,40.31951141357422,-0.33456945419311523,-0.22784174978733063,0.5670534372329712,-0.26519519090652466,0.022467119619250298
50.34103012084961,-86.0621566772461,35.635536193847656,-0.12449096143245697,-0.2556697428226471,0.5705269575119019,-0.23064208030700684,0.022467119619250298
54.737117767333984,-85.5953140258789,30.889320373535156,0.015561367385089397,-0.28349775075912476,0.5705269575119019,-0.20645488798618317,0.025923600420355797
58.83753967285156,-84.5215835571289,25.754066467285156,0.18673643469810486,-0.3113257586956024,0.5601063966751099,-0.17535708844661713,0.025923600420355797
62.72010040283203,-83.43228149414062,20.782209396362305,0.11671027541160583,-0.3391537368297577,0.5566328763961792,-0.1408039629459381,0.022467119619250298
66.0657958984375,-81.8528060913086,15.787010192871094,-0.023342058062553406,-0.36350324749946594,0.5531593561172485,-0.11661677807569504,0.025923600420355797
69.39592742919922,-79.86095428466797,10.44946002960205,-0.07002616673707962,-0.3774172365665436,0.5392652153968811,-0.08206366002559662,0.022467119619250298
72.57823181152344,-77.59677124023438,4.979638576507568,-3.000000026176508e-09,-0.40176674723625183,0.5288446545600891,-0.04059991613030434,0.025923600420355797
75.40261840820312,-74.95912170410156,-0.4590604305267334,-0.031122742220759392,-0.4295947551727295,0.511476993560791,-0.0025914839934557676,0.025923600420355797
77.7679443359375,-71.94799041748047,-5.703242301940918,0.10114890336990356,-0.44698724150657654,0.4941093623638153,0.025051012635231018,0.022467119619250298
79.76758575439453,-68.48558807373047,-10.994108200073242,0.389034241437912,-0.46437975764274597,0.47326818108558655,0.05269350856542587,0.022467119619250298
81.47933197021484,-64.60302734375,-16.417245864868164,0.6691389083862305,-0.4782937467098236,0.4663211405277252,0.08379131555557251,0.025923600420355797
83.33892059326172,-60.806053161621094,-21.92597007751465,0.8869980573654175,-0.49568626284599304,0.43853291869163513,0.11834443360567093,0.025923600420355797
