220kV Ⅷ母电压_A相_1,220kV Ⅷ母电压_B相_2,220kV Ⅷ母电压_C相_3,220kV Ⅷ母电压_3U0_4,220kV草水Ⅱ回线247_A相_21,220kV草水Ⅱ回线247_B相_22,220kV草水Ⅱ回线247_C相_23,220kV草水Ⅱ回线247_3I0_24
12.937872886657715,-80.80931091308594,67.81289672851562,0.09327133744955063,0.045563820749521255,-0.07735670357942581,0.06247246265411377,0.01133134588599205
34.17728805541992,-85.77692413330078,51.505435943603516,0.015545222908258438,0.06265025585889816,-0.0716964602470398,0.0397552028298378,0.01133134588599205
53.495338439941406,-85.55914306640625,32.06511688232422,-0.031090445816516876,0.07214271277189255,-0.06792295724153519,0.01893104985356331,0.013219903223216534
69.29437255859375,-78.98404693603516,9.844644546508789,0.10881655663251877,0.08163517713546753,-0.056602466851472855,-0.001893104868941009,0.013219903223216534
80.45706939697266,-67.88729095458984,-12.272090911865234,0.38863056898117065,0.0873306542634964,-0.03962172567844391,-0.02082415297627449,0.01133134588599205
85.50064849853516,-51.25251770019531,-33.84939193725586,0.4819019138813019,0.08922914415597916,-0.01886748895049095,-0.03786209970712662,0.01133134588599205
85.29180908203125,-31.610214233398438,-53.40382385253906,0.38863056898117065,0.07973668724298477,0.0018867489416152239,-0.053006935864686966,0.015108460560441017
78.65057373046875,-9.364836692810059,-69.23409271240234,0.2020878940820694,0.06834573298692703,0.015093991532921791,-0.06625866889953613,0.009442787617444992
67.51920318603516,12.693864822387695,-80.40657043457031,-0.06218089163303375,0.05505628138780594,0.04150847718119621,-0.07004488259553909,0.013219903223216534
51.14584732055664,34.140689849853516,-85.63491821289062,-0.23317834734916687,0.04176683351397514,0.06414946168661118,-0.07193798571825027,0.015108460560441017
31.629392623901367,53.71039962768555,-85.64529418945312,-0.23317834734916687,0.02088341675698757,0.07735670357942581,-0.06815177947282791,0.018885575234889984
9.366643905639648,69.52587890625,-79.06836700439453,-0.18654267489910126,-0.007593969814479351,0.08301695436239243,-0.05679314583539963,0.013219903223216534
-12.739471435546875,80.7367172241211,-67.98925018310547,0.1243617832660675,-0.022781910374760628,0.09245069324970245,-0.03596899285912514,0.013219903223216534
-34.01021194458008,85.66284942626953,-51.546932220458984,0.21763311326503754,-0.045563820749521255,0.08867719769477844,-0.02271725796163082,0.015108460560441017
-53.537109375,85.54876708984375,-31.99250030517578,0.21763311326503754,-0.05315779149532318,0.08679044991731644,0.001893104868941009,0.01133134588599205
-69.31525421142578,79.0151596069336,-9.782402038574219,0.07772611081600189,-0.06644723564386368,0.07735670357942581,0.01893104985356331,0.01133134588599205
-80.47795867919922,67.94951629638672,12.282464981079102,-0.18654267489910126,-0.07214271277189255,0.056602466851472855,0.04164830595254898,0.01133134588599205
-85.4588851928711,51.30437088012695,33.84939193725586,-0.3264496922492981,-0.06834573298692703,0.045281972736120224,0.05868625268340111,0.013219903223216534
-85.32313537597656,31.75540542602539,53.4141960144043,-0.18654267489910126,-0.06644723564386368,0.015093991532921791,0.07004488259553909,0.007554230280220509
-78.65057373046875,9.468544960021973,69.13035583496094,0.0,-0.051259297877550125,-0.0018867489416152239,0.08518972247838974,0.01133134588599205
-67.41477966308594,-12.652381896972656,80.3028335571289,0.3264496922492981,-0.034172866493463516,-0.020754238590598106,0.09276214241981506,0.005665672942996025
-51.198055267333984,-33.97475814819336,85.44819641113281,0.4508114755153656,-0.015187939628958702,-0.04150847718119621,0.08708282560110092,0.015108460560441017
-31.692047119140625,-53.544464111328125,85.47931671142578,0.41972100734710693,0.0018984924536198378,-0.052828967571258545,0.08708282560110092,0.01133134588599205
-9.366643905639648,-69.44290924072266,79.0061264038086,0.41972100734710693,0.030375879257917404,-0.06414946168661118,0.07383108884096146,0.015108460560441017
12.729029655456543,-80.71597290039062,67.91663360595703,0.1243617832660675,0.04936080425977707,-0.0716964602470398,0.06247246265411377,0.013219903223216534
34.031097412109375,-85.75618743896484,51.629920959472656,0.015545222908258438,0.06265025585889816,-0.06980971246957779,0.0397552028298378,0.01133134588599205
53.370033264160156,-85.60062408447266,32.22072219848633,-0.015545222908258438,0.07593970000743866,-0.06603620946407318,0.01893104985356331,0.013219903223216534
69.2421646118164,-79.04627227783203,10.010623931884766,0.1243617832660675,0.0873306542634964,-0.05471571907401085,-0.001893104868941009,0.013219903223216534
