220kV墨泗线电压_21,220kV墨泗线电压_22,220kV墨泗线电压_23,220kV墨泗线电压_24,220kV墨泗线_29,220kV墨泗线_30,220kV墨泗线_31,220kV墨泗线_32
-81.45145416259766,39.82506561279297,41.287315368652344,-0.9804059863090515,0.35464999079704285,-0.15137499570846558,-0.17213499546051025,0.012109999544918537
-81.0488052368164,35.05686569213867,45.61048126220703,-1.1049020290374756,0.35464999079704285,-0.12715500593185425,-0.19289499521255493,0.005189999938011169
-80.68853759765625,30.309858322143555,49.933650970458984,-1.1049020290374756,0.3442699909210205,-0.10985500365495682,-0.20673500001430511,0.005189999938011169
-79.92562866210938,25.562850952148438,54.00251388549805,-1.042654037475586,0.3373500108718872,-0.0856349989771843,-0.21711499989032745,0.005189999938011169
-78.99317932128906,20.646305084228516,57.986610412597656,-1.042654037475586,0.33388999104499817,-0.06833499670028687,-0.2344149947166443,0.012109999544918537
-77.4885482788086,15.644993782043457,61.54686737060547,-1.042654037475586,0.3304300010204315,-0.047575000673532486,-0.24825499951839447,0.005189999938011169
-75.68722534179688,10.580105781555176,64.85282135009766,-1.0115300416946411,0.3200500011444092,-0.026815000921487808,-0.25517499446868896,0.00865000020712614
-73.58921813964844,5.5576019287109375,67.84088897705078,-0.7936620116233826,0.3062100112438202,-0.006054999772459269,-0.272475004196167,0.00865000020712614
-71.15213775634766,0.5986739993095398,70.53227233886719,-0.6380419731140137,0.2992900013923645,0.011245000176131725,-0.28285500407218933,0.00865000020712614
-68.43956756591797,-4.38144588470459,72.90577697753906,-0.35792601108551025,0.28891000151634216,0.03200500085949898,-0.2966949939727783,0.00865000020712614
-65.3879165649414,-9.361565589904785,75.10974884033203,0.015561999753117561,0.27160999178886414,0.0562250018119812,-0.303615003824234,0.012109999544918537
-62.06077194213867,-14.447646141052246,77.05941009521484,0.2645539939403534,0.2543100118637085,0.07698500156402588,-0.30707499384880066,0.005189999938011169
-58.47932434082031,-19.53372573852539,78.64881134033203,0.4512979984283447,0.24392999708652496,0.09774500131607056,-0.32091501355171204,0.012109999544918537
-54.707149505615234,-24.365501403808594,80.02629089355469,0.7936620116233826,0.22663000226020813,0.11850500106811523,-0.3243750035762787,0.012109999544918537
-50.9561653137207,-29.070125579833984,81.08589172363281,1.1049020290374756,0.2024099975824356,0.14272500574588776,-0.32783499360084534,0.012109999544918537
-46.86610794067383,-33.584022521972656,81.61569213867188,1.2605220079421997,0.18856999278068542,0.16348500549793243,-0.334755003452301,0.012109999544918537
-42.52174758911133,-38.05553436279297,81.76403045654297,1.2605220079421997,0.17818999290466309,0.17732499539852142,-0.334755003452301,0.012109999544918537
-37.81712341308594,-42.54823684692383,81.59449768066406,1.385017991065979,0.16088999807834625,0.19462500512599945,-0.3312950134277344,0.00865000020712614
-33.04892349243164,-46.87140655517578,81.23423767089844,1.4472659826278687,0.13321000337600708,0.21538500487804413,-0.3312950134277344,0.00865000020712614
-28.450260162353516,-51.109806060791016,80.83158874511719,1.3227699995040894,0.1124500036239624,0.23268499970436096,-0.3243750035762787,0.012109999544918537
-23.724443435668945,-55.093902587890625,79.9839096069336,1.1360260248184204,0.09168999642133713,0.2430649995803833,-0.32091501355171204,0.00865000020712614
-18.78670883178711,-59.035614013671875,78.83953857421875,0.887033998966217,0.07784999907016754,0.263824999332428,-0.3105350136756897,0.015569999814033508
-13.806588172912598,-62.55348587036133,77.27133178710938,0.7002900242805481,0.057089999318122864,0.2742049992084503,-0.30707499384880066,0.00865000020712614
-8.76289176940918,-65.79586029052734,75.32166290283203,0.4512979984283447,0.036329999566078186,0.28458499908447266,-0.30015501379966736,0.012109999544918537
-3.6980040073394775,-68.69916534423828,73.03292846679688,0.20230600237846375,0.012109999544918537,0.29842498898506165,-0.289775013923645,0.012109999544918537
1.1973479986190796,-71.28459167480469,70.4898910522461,-0.10893400013446808,-0.0017300000181421638,0.30534499883651733,-0.2793950140476227,0.012109999544918537
6.26223611831665,-73.63690185546875,67.73493194580078,-0.23342999815940857,-0.025949999690055847,0.3191849887371063,-0.2655549943447113,0.012109999544918537
11.199972152709961,-75.6925277709961,64.64089965820312,-0.48242199420928955,-0.053630001842975616,0.326104998588562,-0.2517150044441223,0.012109999544918537
16.201284408569336,-77.4090805053711,61.29256057739258,-0.7314140200614929,-0.0674699991941452,0.3330250084400177,-0.24133500456809998,0.00865000020712614
21.117828369140625,-78.97728729248047,57.859458923339844,-0.8247860074043274,-0.09515000134706497,0.33648499846458435,-0.22403499484062195,0.012109999544918537
25.991987228393555,-80.18522644042969,54.278011322021484,-0.7314140200614929,-0.1124500036239624,0.3468649983406067,-0.19981500506401062,0.00865000020712614
