漫昆I回电压_A相_17,漫昆I回电压_B相_18,漫昆I回电压_C相_19,漫昆I回电压_3U0_20,漫昆I回线_A相_29,漫昆I回线_B相_30,漫昆I回线_C相_31,漫昆I回线_3I0_32
-67.0554428100586,82.77842712402344,-15.777433395385742,-0.0622846744954586,-0.08524623513221741,0.17403367161750793,-0.07214033603668213,-0.0018957345746457577
-79.37110137939453,72.3467025756836,6.804731369018555,-0.4359927177429199,-0.11745037138462067,0.1626836508512497,-0.026578016579151154,-0.007582938298583031
-86.46099090576172,57.16667556762695,29.117197036743164,-0.5138485431671143,-0.14397141337394714,0.1418752670288086,0.020882727578282356,-0.007582938298583031
-87.4244613647461,37.59160614013672,49.738853454589844,-0.373708039522171,-0.1515488624572754,0.11728356033563614,0.058851324021816254,-0.009478673338890076
-82.54427337646484,15.657975196838379,66.71955871582031,-0.4359927177429199,-0.15723194181919098,0.07945015281438828,0.0968199223279953,-0.015165876597166061
-72.19744110107422,-6.847116947174072,79.00127410888672,0.04671350494027138,-0.15344323217868805,0.03405006602406502,0.13289009034633636,-0.020853079855442047
-56.76096725463867,-29.123624801635742,86.0653305053711,0.23356753587722778,-0.1307108998298645,0.0,0.1499759554862976,-0.009478673338890076
-37.261165618896484,-50.090972900390625,87.20636749267578,0.14014051854610443,-0.10608420521020889,-0.04729175567626953,0.16706182062625885,-0.007582938298583031
-15.038515090942383,-67.26591491699219,82.39326477050781,0.1245693489909172,-0.07198570668697357,-0.0851251631975174,0.16706182062625885,-0.009478673338890076
7.404059886932373,-79.63020324707031,71.92684173583984,-0.2958522140979767,-0.026521051302552223,-0.11917522549629211,0.15567123889923096,-0.0018957345746457577
29.64765739440918,-86.7266845703125,56.71992492675781,-0.5761332511901855,0.013260525651276112,-0.14565861225128174,0.13478851318359375,-0.0037914691492915154
50.20518112182617,-87.80726623535156,37.32229232788086,-0.46713507175445557,0.051147740334272385,-0.15700863301753998,0.11010892689228058,-0.005687203723937273
33.29208755493164,-81.3757553100586,17.437124252319336,-53.362396240234375,0.784265398979187,-0.11728356033563614,0.1936398446559906,-0.8436018824577332
44.90609359741211,-65.09436798095703,-0.8920837044715881,-36.46767807006836,1.1707149744033813,0.018916703760623932,0.22401471436023712,-1.406635046005249
71.23397064208984,-49.5402946472168,-26.472064971923828,-7.879011154174805,1.8962551355361938,0.011350021697580814,0.2259131520986557,-2.1421802043914795
53.46213150024414,-33.0718879699707,-45.17470169067383,-43.06985092163086,2.434253692626953,0.22321709990501404,0.3758890926837921,-3.050236940383911
46.707366943359375,-6.76399564743042,-57.871337890625,-31.26690673828125,2.964674711227417,0.3726590573787689,0.22211629152297974,-3.5791468620300293
55.787025451660156,14.203351974487305,-72.39363098144531,-3.9083633422851562,3.495095729827881,0.44832587242126465,0.4518263041973114,-4.418957233428955
34.46500778198242,29.362598419189453,-86.43875885009766,-38.61649703979492,3.78303861618042,0.618576169013977,0.33032679557800293,-4.765876770019531
28.097726821899414,52.262516021728516,-84.18780517578125,-5.994899749755859,3.94027042388916,0.7169430255889893,0.48789647221565247,-5.17725133895874
14.923317909240723,67.73346710205078,-79.63402557373047,5.449909210205078,4.029305458068848,0.7585597634315491,0.3777875304222107,-5.201895713806152
-7.3516974449157715,78.65353393554688,-72.11355590820312,-1.1834088563919067,3.76977801322937,0.7566680908203125,0.44802942872047424,-5.008530616760254
-12.629838943481445,82.56023406982422,-60.16378402709961,16.832433700561523,3.4553141593933105,0.7169430255889893,0.3682953715324402,-4.570616245269775
-29.082141876220703,82.84076690673828,-40.257869720458984,23.574748992919922,2.9779350757598877,0.6412762403488159,0.4119592607021332,-4.064455032348633
-42.38222122192383,79.19381713867188,-20.56978988647461,27.54539680480957,2.375528335571289,0.5202093124389648,0.2695770263671875,-3.2018957138061523
-47.63941955566406,66.60094451904297,0.5290263891220093,33.52472686767578,1.6499882936477661,0.42751747369766235,0.2695770263671875,-2.377251148223877
-53.29457092285156,51.659889221191406,22.613285064697266,36.156253814697266,0.9604409337043762,0.27240052819252014,0.12529636919498444,-1.3914692401885986
-55.84986114501953,31.160097122192383,43.8988151550293,32.933021545410156,0.22732329368591309,0.1910586953163147,0.05695289373397827,-0.5023696422576904
