220kVⅡ段母线电压_17,220kVⅡ段母线电压_18,220kVⅡ段母线电压_19,220kVⅡ段母线电压_20,和谢Ⅰ回224断路器_13,和谢Ⅰ回224断路器_14,和谢Ⅰ回224断路器_15,和谢Ⅰ回224断路器_16
-14.539600372314453,-27.88125228881836,81.18018341064453,-68.14471435546875,-36.091670989990234,-2.8069000244140625,-4.812399864196777,42.903465270996094
-13.335399627685547,-33.725162506103516,82.04949188232422,-61.474117279052734,-36.851112365722656,-2.8250091075897217,-4.812399864196777,43.719810485839844
-10.882399559020996,-40.19361114501953,82.76277160644531,-55.719093322753906,-37.266998291015625,-2.87933611869812,-4.9576802253723145,44.300323486328125
-10.704000473022461,-45.502201080322266,83.18628692626953,-47.41354751586914,-37.682884216308594,-2.8250091075897217,-4.99399995803833,44.77198791503906
-9.522100448608398,-50.29777526855469,84.54597473144531,-43.35887145996094,-37.93603515625,-2.861227035522461,-5.048480033874512,45.08038330078125
-10.124199867248535,-55.40562057495117,84.8134536743164,-33.745365142822266,-38.0806884765625,-2.861227035522461,-5.0666399002075195,45.22551345825195
-9.410599708557129,-60.44655227661133,82.04949188232422,-21.450542449951172,-38.2072639465332,-2.8250091075897217,-5.102960109710693,45.3887825012207
-10.258000373840332,-63.658470153808594,80.24400329589844,-11.052261352539062,-38.35192108154297,-2.8069000244140625,-5.102960109710693,45.515769958496094
-8.228699684143066,-67.42801666259766,76.74447631835938,-1.9292399883270264,-38.225345611572266,-2.752573013305664,-5.121119976043701,45.3887825012207
-7.782700061798096,-68.76631927490234,75.25104522705078,2.1254360675811768,-38.153018951416016,-2.716355085372925,-5.0666399002075195,45.22551345825195
-6.422399997711182,-70.79607391357422,72.5093765258789,8.207449913024902,-37.863704681396484,-2.716355085372925,-5.048480033874512,44.88083267211914
-4.683000087738037,-73.38345336914062,69.9460220336914,14.125968933105469,-37.46590042114258,-2.607701063156128,-4.99399995803833,44.336605072021484
-3.3896000385284424,-75.99313354492188,67.58328247070312,20.502273559570312,-36.92344284057617,-2.5714828968048096,-4.9576802253723145,43.683528900146484
-2.564500093460083,-78.75895690917969,65.15367126464844,28.055742263793945,-36.3809814453125,-2.517155885696411,-4.848720073699951,42.957889556884766
-1.0703999996185303,-81.65860748291016,61.654144287109375,36.81907653808594,-35.73003005981445,-2.4447200298309326,-4.7942399978637695,42.15968322753906
-0.8027999997138977,-83.82218933105469,58.9124755859375,44.797630310058594,-35.00674819946289,-2.354175090789795,-4.667119979858398,41.21635055541992
0.5128999948501587,-86.56570434570312,54.610504150390625,54.738128662109375,-34.1026496887207,-2.2817389965057373,-4.558159828186035,40.1641731262207
