1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,21-220kV云普临时线路电流Ia_21,22-220kV云普临时线路电流Ib_22,23-220kV云普临时线路电流Ic_23,24-220kV云普临时线路电流3Io_24
-39.151424407958984,-46.34199523925781,84.25918579101562,-2.0284597873687744,-0.561450183391571,0.32375070452690125,-0.1797637790441513,-0.43251293897628784
-36.57734298706055,-50.494388580322266,84.8931884765625,-3.7399728298187256,-0.561450183391571,0.32375070452690125,-0.1797637790441513,-0.4253044128417969
-31.55630111694336,-57.56296920776367,81.0257568359375,-13.97735595703125,-0.53985595703125,0.3309451639652252,-0.1797637790441513,-0.39647021889686584
-27.39328384399414,-58.672386169433594,81.84996795654297,-7.32147216796875,-0.5326578617095947,0.3309451639652252,-0.1797637790441513,-0.3748445510864258
-21.164649963378906,-63.14175796508789,80.89895629882812,-5.831821918487549,-0.5110636353492737,0.3309451639652252,-0.16538268327713013,-0.3532189130783081
-17.224084854125977,-67.95980834960938,78.55314636230469,-11.536865234375,-0.48946940898895264,0.34533411264419556,-0.16538268327713013,-0.3171761631965637
-12.520828247070312,-71.98541259765625,75.98542785644531,-14.769722938537598,-0.4750732481479645,0.35252857208251953,-0.15100157260894775,-0.273924857378006
-7.59512186050415,-72.39747619628906,75.16121673583984,-8.335701942443848,-0.431884765625,0.35252857208251953,-0.15100157260894775,-0.2378821223974228
-1.3347076177597046,-76.54987335205078,72.6885986328125,-8.906206130981445,-0.4030924439430237,0.34533411264419556,-0.15100157260894775,-0.2018393725156784
1.9067251682281494,-79.18077850341797,69.61367797851562,-13.343461990356445,-0.37430012226104736,0.3381396532058716,-0.1294299215078354,-0.18021373450756073
5.720175266265869,-80.4169921875,65.33415222167969,-16.19598388671875,-0.34550783038139343,0.3309451639652252,-0.1294299215078354,-0.136962428689003
10.200979232788086,-81.39962005615234,61.815425872802734,-16.164289474487305,-0.2879231870174408,0.31655624508857727,-0.1222393736243248,-0.09371113777160645
16.016490936279297,-84.98145294189453,58.455204010009766,-18.224443435668945,-0.2519327700138092,0.3093617856502533,-0.1222393736243248,-0.043251294642686844
20.243064880371094,-84.94975280761719,53.54167175292969,-19.23867416381836,-0.2159423828125,0.31655624508857727,-0.11504882574081421,-0.007208549417555332
24.755647659301758,-85.36182403564453,49.48404312133789,-19.23867416381836,-0.16555583477020264,0.3093617856502533,-0.10066772252321243,0.043251294642686844
29.458904266357422,-85.64710235595703,45.20451354980469,-19.048505783081055,-0.11516927182674408,0.28777840733528137,-0.09347716718912125,0.09371113777160645
35.21085739135742,-85.07654571533203,41.020084381103516,-15.276837348937988,-0.0719807967543602,0.2805839478969574,-0.07909606397151947,0.12975388765335083
40.42257308959961,-84.03052520751953,36.2016487121582,-12.677873611450195,-0.02879231795668602,0.2590005695819855,-0.07190551608800888,0.15858808159828186
44.617366790771484,-84.75956726074219,31.8270206451416,-14.389386177062988,0.01439615897834301,0.23741719126701355,-0.0647149607539177,0.19463083148002625
47.858802795410156,-83.65015411376953,25.899078369140625,-17.08343505859375,0.05038655549287796,0.2230282723903656,-0.0647149607539177,0.23067358136177063
52.08537673950195,-82.19206237792969,20.573442459106445,-16.512929916381836,0.10077311098575592,0.21583381295204163,-0.050333861261606216,0.266716331243515
56.05772018432617,-80.67057037353516,15.279505729675293,-16.069204330444336,0.13676351308822632,0.1942504346370697,-0.03595275804400444,0.3027590811252594
59.83938980102539,-78.89550018310547,9.541766166687012,-16.386152267456055,0.18715006113052368,0.17986151576042175,-0.028762206435203552,0.34601035714149475
62.191017150878906,-76.74005889892578,3.994227647781372,-18.287832260131836,0.23033854365348816,0.15108366310596466,-0.014381103217601776,0.38205310702323914
64.92398834228516,-74.71141052246094,-0.8242056965827942,-18.35122299194336,0.2879231870174408,0.1366947442293167,0.0,0.4253044128417969
67.9429702758789,-71.4782485961914,-6.244943141937256,-16.92496109008789,0.33830973505973816,0.10791690647602081,0.014381103217601776,0.46134716272354126
70.739501953125,-67.83301544189453,-11.412078857421875,-14.738028526306152,0.37430012226104736,0.08633352816104889,0.021571654826402664,0.48297280073165894
72.77334594726562,-64.75833892822266,-15.78670883178711,-13.37515640258789,0.4246867001056671,0.057555682957172394,0.021571654826402664,0.5190155506134033
74.29872131347656,-61.20820236206055,-21.144046783447266,-13.97735595703125,0.4750732481479645,0.03597230091691017,0.03595275804400444,0.547849714756012
75.91944122314453,-57.68975830078125,-26.75498390197754,-14.801417350769043,0.518261730670929,0.014388920739293098,0.050333861261606216,0.5838924646377563
77.19058990478516,-53.378875732421875,-31.636817932128906,-13.628714561462402,0.561450183391571,-0.014388920739293098,0.050333861261606216,0.6199352145195007
77.60371398925781,-49.03629684448242,-36.043148040771484,-12.963126182556152,0.6046386957168579,-0.028777841478586197,0.07190551608800888,0.6415608525276184
77.57193756103516,-44.15485382080078,-41.0834846496582,-13.343461990356445,0.6334310173988342,-0.057555682957172394,0.07190551608800888,0.6631865501403809
77.92150115966797,-39.653785705566406,-45.33131408691406,-12.139063835144043,0.6838175654411316,-0.08633352816104889,0.09347716718912125,0.6848121881484985
78.04861450195312,-34.74064636230469,-49.95954513549805,-11.568559646606445,0.7198079228401184,-0.10072244703769684,0.08628661930561066,0.7064378261566162
77.41304016113281,-30.2078800201416,-54.08057403564453,-11.885506629943848,0.7486002445220947,-0.12950028479099274,0.09347716718912125,0.7280634641647339
76.68212890625,-24.692485809326172,-58.0431022644043,-10.459245681762695,0.7917887568473816,-0.15827812254428864,0.09347716718912125,0.7424805760383606
75.85588073730469,-19.62085723876953,-61.87882614135742,-9.793657302856445,0.8205810785293579,-0.17266705632209778,0.09347716718912125,0.7568976879119873
74.96607971191406,-13.78848648071289,-66.09495544433594,-8.557564735412598,0.86376953125,-0.1942504346370697,0.10785827040672302,0.7641062140464783
73.59959411621094,-8.494976043701172,-69.29667663574219,-7.226387977600098,0.885363757610321,-0.2230282723903656,0.10785827040672302,0.7713147401809692
71.75642395019531,-3.2331624031066895,-72.53009796142578,-6.941135883331299,0.9141560792922974,-0.24461165070533752,0.11504882574081421,0.785731852054596
70.07215118408203,1.679976463317871,-75.28801727294922,-6.053684711456299,0.9357503056526184,-0.2590005695819855,0.1222393736243248,0.785731852054596
67.6887435913086,7.385557174682617,-77.82403564453125,-4.785897254943848,0.9573445916175842,-0.2805839478969574,0.1222393736243248,0.7929404377937317
65.14644622802734,12.362091064453125,-79.25054931640625,-2.947605609893799,0.9645426273345947,-0.29497286677360535,0.1222393736243248,0.7929404377937317
62.12746047973633,17.560508728027344,-80.64535522460938,-1.6164288520812988,0.9789388179779053,-0.3093617856502533,0.11504882574081421,0.785731852054596
58.9495849609375,22.505346298217773,-82.51567077636719,-1.8699864149093628,0.993334949016571,-0.3309451639652252,0.11504882574081421,0.778523325920105
55.58103942871094,27.67206573486328,-83.7519760131836,-0.8557564616203308,0.993334949016571,-0.3381396532058716,0.11504882574081421,0.7713147401809692
52.11715316772461,32.83878707885742,-84.32258605957031,1.1727032661437988,1.000533103942871,-0.3597230315208435,0.11504882574081421,0.7568976879119873
48.27192687988281,38.0055046081543,-84.48108673095703,3.2011630535125732,0.9861369132995605,-0.37411195039749146,0.1222393736243248,0.7424805760383606
44.68092727661133,42.31639099121094,-84.35428619384766,4.65911865234375,0.9789388179779053,-0.37411195039749146,0.1222393736243248,0.7136463522911072
40.86747741699219,47.19783020019531,-84.22748565673828,6.814357280731201,0.9645426273345947,-0.38130640983581543,0.11504882574081421,0.6920207142829895
37.022247314453125,51.95248031616211,-84.06897735595703,8.557564735412598,0.950146496295929,-0.3885008692741394,0.10785827040672302,0.6703950762748718
32.28721237182617,55.882991790771484,-83.11797332763672,8.811121940612793,0.9285522699356079,-0.3885008692741394,0.10785827040672302,0.6415608525276184
27.806407928466797,59.55992126464844,-82.10356903076172,9.191458702087402,0.9069580435752869,-0.3956953287124634,0.10785827040672302,0.6127266883850098
23.262046813964844,63.68061828613281,-80.64535522460938,10.87127685546875,0.8781657218933105,-0.3885008692741394,0.10066772252321243,0.5766839385032654
18.4952335357666,67.51603698730469,-78.7750473022461,12.42431640625,0.8349772095680237,-0.3885008692741394,0.09347716718912125,0.53343266248703
13.69664192199707,70.93938446044922,-76.58773040771484,13.913966178894043,0.7989868521690369,-0.3885008692741394,0.09347716718912125,0.4901813566684723
9.120502471923828,73.8238754272461,-74.36871337890625,14.92819595336914,0.7629964351654053,-0.3885008692741394,0.08628661930561066,0.44693005084991455
4.385468006134033,76.61326599121094,-71.61079406738281,16.291067123413086,0.7198079228401184,-0.3956953287124634,0.08628661930561066,0.4036787450313568
