1-110kVⅠ段母线电压Ua_1,2-110kVⅠ段母线电压Ub_2,3-110kVⅠ段母线电压Uc_3,4-110kVⅠ段母线电压3Uo_4,25-110kV朋勒T 132线路电流Ia_25,26-110kV朋勒T 132线路电流Ib_26,27-110kV朋勒T 132线路电流Ic_27,28-110kV朋勒T 132线路电流3Io_28
-73.18755340576172,-1.267927885055542,74.29691314697266,-0.06339360028505325,-0.18717952072620392,-0.02156342938542366,0.20887869596481323,0.0
-70.00686645507812,-6.751715660095215,76.86543273925781,0.31696799397468567,-0.18717952072620392,-0.0359390489757061,0.2160814106464386,0.0
-66.8897933959961,-11.950220108032227,78.95830535888672,0.31696799397468567,-0.1727810949087143,-0.05031466856598854,0.22328412532806396,0.0
-63.74091720581055,-17.0853271484375,81.0828857421875,0.602239191532135,-0.16558188199996948,-0.06469029188156128,0.23048684000968933,0.007200772408396006
-59.89229202270508,-22.125341415405273,82.3512954711914,0.6656327843666077,-0.15118345618247986,-0.08625371754169464,0.22328412532806396,0.0
-56.13908386230469,-27.228750228881836,83.61969757080078,0.5388455986976624,-0.13678503036499023,-0.09344153106212616,0.23048684000968933,0.007200772408396006
-52.16322708129883,-32.26876449584961,84.85639190673828,0.7607231736183167,-0.12958581745624542,-0.1078171506524086,0.23048684000968933,0.0
-47.80569076538086,-36.99179458618164,85.078369140625,0.5388455986976624,-0.12238661199808121,-0.11500495672225952,0.2376895546913147,0.0
-43.38453674316406,-41.366146087646484,85.01494598388672,0.41205838322639465,-0.10078897327184677,-0.12938058376312256,0.2376895546913147,0.0
-38.74073791503906,-45.80389404296875,84.79297637939453,0.3803615868091583,-0.10078897327184677,-0.13656838238239288,0.2376895546913147,0.0
-33.906097412109375,-50.46352767944336,84.47587585449219,0.15848399698734283,-0.08639054745435715,-0.15094400942325592,0.2376895546913147,0.0
-29.071456909179688,-54.23561477661133,83.46115112304688,0.348664790391922,-0.07919133454561234,-0.15813182294368744,0.2376895546913147,0.0
