17-220KV-C母UA_17,18-220KV-C母UB_18,19-220KV-C母UC_19,20-220KV-C母3U0_20,13-冶小II回219IA_13,14-冶小II回219IB_14,15-冶小II回219IC_15,16-冶小II回2193I0_16
-45.74655532836914,-39.12697982788086,84.65599060058594,-0.09323346614837646,0.258981853723526,-0.811476469039917,0.6215564608573914,0.0
-41.24026870727539,-43.81972885131836,84.84245300292969,-0.09323346614837646,0.293512761592865,-0.8287419080734253,0.5524945855140686,0.0
-36.54751968383789,-48.326011657714844,84.62490844726562,-0.09323346614837646,0.36257457733154297,-0.8460074067115784,0.517963707447052,0.0
-31.699378967285156,-52.67690658569336,84.1276626586914,-0.031077822670340538,0.43163642287254333,-0.8460074067115784,0.44890186190605164,0.0
-26.664772033691406,-56.84133529663086,83.31964111328125,-0.031077822670340538,0.44890186190605164,-0.8460074067115784,0.41437095403671265,0.0
-21.536930084228516,-60.85037612915039,82.10760498046875,-0.031077822670340538,0.5006982684135437,-0.8460074067115784,0.34530913829803467,0.0
-16.284778594970703,-64.48648071289062,80.49156188964844,0.0,0.5352291464805603,-0.8460074067115784,0.3107782304286957,0.0
-10.939393043518066,-67.87396240234375,78.56473541259766,-0.031077822670340538,0.5697600841522217,-0.811476469039917,0.2417163997888565,0.0
-5.594007968902588,-70.98174285888672,76.26497650146484,0.0,0.6042909622192383,-0.811476469039917,0.17265456914901733,0.0
-0.21754474937915802,-73.77874755859375,73.56120300292969,0.031077822670340538,0.6388218998908997,-0.7596800923347473,0.10359273850917816,0.0
5.189996242523193,-76.26497650146484,70.70204162597656,0.031077822670340538,0.656087338924408,-0.742414653301239,0.05179636925458908,-0.017265455797314644
10.535381317138672,-78.37826538085938,67.43887329101562,0.031077822670340538,0.6906182765960693,-0.6906182765960693,0.017265455797314644,0.0
15.7875337600708,-80.18077850341797,63.95815658569336,0.09323346614837646,0.7078837156295776,-0.673352837562561,-0.05179636925458908,0.0
20.915374755859375,-81.73467254638672,60.29097366333008,0.09323346614837646,0.7251491546630859,-0.6388218998908997,-0.10359273850917816,0.0
25.918903350830078,-82.88455200195312,56.37516784667969,0.09323346614837646,0.7596800923347473,-0.6042909622192383,-0.13812364637851715,-0.017265455797314644
30.829198837280273,-83.78580474853516,52.335052490234375,0.15538911521434784,0.7769455313682556,-0.6042909622192383,-0.20718547701835632,0.0
35.55302810668945,-84.34520721435547,48.077392578125,0.15538911521434784,0.7769455313682556,-0.5524945855140686,-0.2417163997888565,0.0
40.15254592895508,-84.65599060058594,43.757572174072266,0.21754474937915802,0.811476469039917,-0.517963707447052,-0.2762472927570343,-0.03453091159462929
