220kVⅢ母电压_Ua_9,220kVⅢ母电压_Ub_10,220kVⅢ母电压_Uc_11,220kVⅢ母电压_3U0_12,博南Ⅱ回电流_Ia_17,博南Ⅱ回电流_Ib_18,博南Ⅱ回电流_Ic_19,博南Ⅱ回电流_3I0_20
-28.064929962158203,82.26518249511719,-53.4999885559082,0.8014105558395386,0.023341957479715347,-0.12881304323673248,0.10892914235591888,0.0017290320247411728
-33.06013107299805,83.44784545898438,-49.51628112792969,0.9259015321731567,0.0354451946914196,-0.12881304323673248,0.10547107458114624,0.005187099799513817
-38.05533218383789,83.89134216308594,-45.050167083740234,0.9725856184959412,0.047548435628414154,-0.13832272589206696,0.09682590514421463,-0.0034580701030790806
-42.840450286865234,83.79019927978516,-40.17167663574219,0.918120801448822,0.048412952572107315,-0.13572917878627777,0.09596138447523117,0.004322582855820656
-47.43883514404297,83.50231170654297,-35.46436309814453,0.6769195795059204,0.06310974061489105,-0.13659368455410004,0.08299363404512405,0.005187099799513817
-51.92829132080078,83.07437133789062,-30.72592544555664,0.3501308262348175,0.06224522367119789,-0.13572917878627777,0.07002587616443634,-0.0034580701030790806
-56.07539749145508,82.1873779296875,-25.800750732421875,0.12449096143245697,0.07867104560136795,-0.14437434077262878,0.0708903968334198,0.002593548968434334
-59.77122116088867,80.76351165771484,-20.8989200592041,-0.04668411239981651,0.08299363404512405,-0.14350982010364532,0.0553290881216526,-0.006051620934158564
-63.303653717041016,79.09066009521484,-15.662518501281738,-0.10114890336990356,0.09163880348205566,-0.13572917878627777,0.05273553729057312,-0.001729035982862115
-66.56375885009766,77.51896667480469,-10.752906799316406,-0.194517120718956,0.09941945225000381,-0.1374582052230835,0.04149681702256203,0.0017290320247411728
-69.46595764160156,75.4337387084961,-5.889978408813477,-0.31900808215141296,0.1020130068063736,-0.1374582052230835,0.028529061004519463,0.0017290320247411728
-72.01023864746094,72.78052520751953,-0.7469457387924194,-0.34235015511512756,0.11670979112386703,-0.13140659034252167,0.02593551017343998,-0.000864518980961293
-74.20439147949219,69.85498809814453,4.2871575355529785,-0.5135251879692078,0.11152268946170807,-0.13140659034252167,0.014696788974106312,0.0008645150228403509
-76.38298797607422,66.87498474121094,9.297918319702148,-0.7391650676727295,0.11843882501125336,-0.12362593412399292,0.007780652958899736,0.003458065912127495
-78.40596008300781,63.59931945800781,14.417609214782715,-0.9881470203399658,0.12535496056079865,-0.12449044734239578,-0.0008645170019008219,0.003458065912127495
-79.80648803710938,60.0980110168457,19.335002899169922,-1.198225498199463,0.1288130283355713,-0.11584527790546417,-0.0008645170019008219,0.0008645150228403509
-81.03583526611328,56.153202056884766,24.42357063293457,-1.330497145652771,0.1305420696735382,-0.11152269691228867,-0.01296775508671999,0.003458065912127495
-82.35855102539062,52.138370513916016,29.729997634887695,-1.3694006204605103,0.13227109611034393,-0.10460656136274338,-0.02507099322974682,-0.000864518980961293
-83.2377700805664,48.04573059082031,34.76409912109375,-1.112637996673584,0.1348646581172943,-0.09941945970058441,-0.03285164758563042,-1.999999943436137e-09
-83.46340942382812,43.47846603393555,39.79820251464844,-0.8403139710426331,0.14437434077262878,-0.09163880348205566,-0.03717423230409622,-0.000864518980961293
-83.37004089355469,38.74781036376953,44.64556884765625,-0.49018314480781555,0.14783240854740143,-0.08126460015773773,-0.0553290881216526,-0.0034580701030790806
-83.10549926757812,34.02493667602539,49.13502502441406,-0.29566603899002075,0.13918723165988922,-0.07348395138978958,-0.05446457117795944,-0.002593552926555276
-82.62309265136719,29.30984115600586,53.429962158203125,-0.2178591787815094,0.14783240854740143,-0.06829684227705002,-0.06138070672750473,-0.007780654821544886
-81.7438735961914,24.49359703063965,57.4058952331543,-0.22563986480236053,0.1417807936668396,-0.06743232905864716,-0.06916136294603348,0.0017290320247411728
-80.24220275878906,19.350563049316406,60.907203674316406,-0.389034241437912,0.14264529943466187,-0.05446457490324974,-0.08126460015773773,0.0008645150228403509
-78.75609588623047,14.223092079162598,64.40850830078125,-0.6380161643028259,0.1417807936668396,-0.04668392241001129,-0.0864517018198967,-0.006051620934158564
-77.02877807617188,9.18898868560791,67.6530532836914,-0.7547264695167542,0.14005175232887268,-0.038903266191482544,-0.08904524892568588,0.005187099799513817
-74.74125671386719,4.162666320800781,70.31404876708984,-0.8636560440063477,0.13140659034252167,-0.02680003084242344,-0.09423235058784485,-1.999999943436137e-09
