Ua,Ub,Uc,3U0,Ia,Ib,Ic,3I0
-82.09624481201172,16.967164993286133,65.33588409423828,-0.0941440016031265,-0.0173099990934133,-0.0181620009243488,0.0386519990861415,0.0008619999862276
-80.17670440673828,11.229436874389648,69.10358428955078,-0.2039600014686584,-0.0190420001745224,-0.0207570008933544,0.0309209991246461,0.0025919999461621
-78.03506469726562,5.856764793395996,72.30017852783203,-0.2353360056877136,-0.0103820003569126,-0.0181620009243488,0.0369339995086193,0.0025919999461621
-75.70305633544922,0.4682210087776184,75.4174575805664,-0.047079998999834,-0.0155779998749494,-0.0276769995689392,0.0377929992973804,0.0025919999461621
-72.93478393554688,-4.896514892578125,78.02708435058594,-0.0235479995608329,-0.0043199998326599,-0.0276769995689392,0.0317800007760524,0.0017269999952986
-69.70646667480469,-10.29299545288086,80.29563903808594,0.2117719948291778,-0.0051859999075531,-0.0276769995689392,0.030061999335885,-3.000000106112566e-06
-66.3750228881836,-15.522818565368652,82.21517944335938,0.1333319991827011,-0.0017219999572262,-0.0198919996619224,0.0317800007760524,0.0017269999952986
-62.83735275268555,-20.712963104248047,84.11093139648438,0.3686519861221313,0.0034739999100565,-0.0250819995999336,0.0309209991246461,-3.000000106112566e-06
-58.83169174194336,-25.784067153930664,84.99931335449219,0.2588360011577606,0.0043399999849498,-0.0276769995689392,0.0309209991246461,0.0017269999952986
-54.68325424194336,-30.878978729248047,85.95115661621094,0.3137440085411072,0.0034739999100565,-0.0294070001691579,0.0274849999696016,0.0008619999862276
-50.12235641479492,-35.727874755859375,86.25257110595703,0.203927993774414,0.0060720001347362,-0.0320019982755184,0.0223309993743896,0.0025919999461621
-45.33935928344727,-40.648193359375,86.44293975830078,0.1411760002374649,0.005206000059843,-0.0285420008003711,0.0223309993743896,0.0025919999461621
-40.50083923339844,-45.57645034790039,86.38741302490234,0.054891999810934,0.0138659998774528,-0.0328669995069503,0.0197540000081062,0.0034570000134408
-35.69404602050781,-50.04441833496094,85.99081420898438,-0.1333640068769455,0.008670000359416,-0.0389220006763935,0.0180360004305839,-3.000000106112566e-06
-30.68102264404297,-54.66316986083984,85.53075408935547,0.0078280000016093,0.0190619993954896,-0.0371919982135295,0.0163180008530616,-0.0017330000409856
-25.18414688110352,-58.97241973876953,84.29336547851562,-0.1568959951400756,0.0199280008673667,-0.0363270007073879,0.0128819998353719,0.0008619999862276
